,logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2,result
0,appeal to emotion,0,"Access to cleaner water has increased ; mortality from ‘ Extreme Weather Events ’ has declined by 99 per cent since the 1920s ; fewer people are dying from heat ; death rates from climate-sensitive diseases like malaria and diarrhoea have decreased ( since 1900 malaria death rates have declined 96 per cent ) ; hunger rates have declined ; poverty has declined ( GDP per capita has quadrupled since 1950 even as CO2 levels have sextupled ) ; life expectancy has more than doubled since the start of industrialisation ; health adjusted life expectancy has increased ; global inequality has decreased in terms of incomes , life expectancies and access to modern-day amenities ; the earth is green and more productive ; habitat lost to agriculture has peaked due to fossil fuel dependent technologies ."," Access to cleaner water has increased, mortality from extreme weather events has declined by 99 percent since the 1920s, fewer people are dying from heat, death rates from climate-sensitive diseases like malaria and diarrhoea have decreased, hunger rates have declined, poverty has declined, GDP per capita has quadrupled since 1950 even as CO2 levels have sextupled, life expectancy has more than doubled since the start of industrialisation, health adjusted life expectancy has increased, global inequality has decreased in terms of incomes, life expectancies and access to modern-day amenities, the earth is green and more productive, habitat lost to agriculture has peaked due to fossil fuel dependent technologies.", Human well-being has improved significantly.,"IsAccessTo(a),  HasIncreased(a),  IsMortality(b),  HasDeclined(b),  IsFrom(c, b),  IsExtremeWeatherEvents(c),  IsDying(d),  IsFrom(e, d),  IsHeat(e),  IsDeathRates(f),  IsFrom(g, f),  IsClimateSensitiveDiseases(g),  IsMalaria(h),  IsDiarrhoea(i),  HasDecreased(f),  HasDeclined(j),  IsHungerRates(j),  HasDeclined(k),  IsPoverty(k),  IsGDPPerCapita(l),  HasQuadrupled(l),  IsCO2Levels(m),  HasSextupled(m),  IsLifeExpectancy(n),  HasDoubled(n),  IsFrom(o, n),  IsIndustrialisation(o),  IsHealthAdjustedLifeExpectancy(p),  HasIncreased(p),  IsGlobalInequality(q),  HasDecreased(q),  IsInTermsOf(r, q),  IsIncomes(r),  IsLifeExpectancies(s),  HasAccessTo(t),  AreLifeExpectancies(s),  IsAccessTo(t),  IsTheEarth(u),  IsGreen(u),  IsMoreProductive(u),  IsHabitat(v),  HasBeenLostTo(v, w),  IsAgriculture(w),  HasPeaked(v),  AreFossilFuelDependent(x)","IsHumanWellBeing(y),  HasImproved(y)","[('IsAccessTo(a)', '  HasImproved(y)'), ('  HasQuadrupled(l)', '  HasImproved(y)'), ('  HasDoubled(n)', '  HasImproved(y)'), ('  HasImproved(y)', '  IsHealthAdjustedLifeExpectancy(p)'), ('  HasIncreased(p)', '  HasImproved(y)'), ('  HasImproved(y)', '  HasIncreased(p)')]",[],"[(' hunger rates', ' Human well-being'), (' life expectancy', ' Human well-being'), (' life expectancies', ' Human well-being'), (' access to modern-day amenities', ' Human well-being')]","IsAccessTo(a) and HasIncreased(a) and IsMortality(b) and HasDeclined(b) and IsFrom(c, b) and IsExtremeWeatherEvents(c) and IsDying(d) and IsFrom(e, d) and IsHeat(e) and IsDeathRates(f) and IsFrom(g, f) and IsClimateSensitiveDiseases(g) and IsMalaria(h) and IsDiarrhoea(i) and HasDecreased(f) and HasDeclined(j) and IsHungerRates(j) and HasDeclined(k) and IsPoverty(k) and IsGDPPerCapita(l) and HasQuadrupled(l) and IsCO2Levels(m) and HasSextupled(m) and IsLifeExpectancy(n) and HasDoubled(n) and IsFrom(o, n) and IsIndustrialisation(o) and IsHealthAdjustedLifeExpectancy(p) and HasIncreased(p) and IsGlobalInequality(q) and HasDecreased(q) and IsInTermsOf(r, q) and IsIncomes(r) and IsLifeExpectancies(s) and HasAccessTo(t) and AreLifeExpectancies(s) and IsAccessTo(t) and IsTheEarth(u) and IsGreen(u) and IsMoreProductive(u) and IsHabitat(v) and HasBeenLostTo(v, w) and IsAgriculture(w) and HasPeaked(v) and AreFossilFuelDependent(x)",IsHumanWellBeing(y) and HasImproved(y),"(exists t (exists s (exists n (exists j (IsAccessTo(a) and HasIncreased(a) and IsMortality(b) and HasDeclined(b) and IsFrom(c, b) and IsExtremeWeatherEvents(c) and IsDying(d) and IsFrom(e, d) and IsHeat(e) and IsDeathRates(f) and IsFrom(g, f) and IsClimateSensitiveDiseases(g) and IsMalaria(h) and IsDiarrhoea(i) and HasDecreased(f) and HasDeclined(j) and IsHungerRates(j) and HasDeclined(k) and IsPoverty(k) and IsGDPPerCapita(l) and HasQuadrupled(l) and IsCO2Levels(m) and HasSextupled(m) and IsLifeExpectancy(n) and HasDoubled(n) and IsFrom(o, n) and IsIndustrialisation(o) and IsHealthAdjustedLifeExpectancy(p) and HasIncreased(p) and IsGlobalInequality(q) and HasDecreased(q) and IsInTermsOf(r, q) and IsIncomes(r) and IsLifeExpectancies(s) and HasAccessTo(t) and AreLifeExpectancies(s) and IsAccessTo(t) and IsTheEarth(u) and IsGreen(u) and IsMoreProductive(u) and IsHabitat(v) and HasBeenLostTo(v, w) and IsAgriculture(w) and HasPeaked(v) and AreFossilFuelDependent(x))))) & (forall a (forall y (IsAccessTo(a) ->   HasImproved(y)))) & (forall y (forall l (  HasQuadrupled(l) ->   HasImproved(y)))) & (forall y (forall n (  HasDoubled(n) ->   HasImproved(y)))) & (forall p (forall y (  HasImproved(y) ->   IsHealthAdjustedLifeExpectancy(p)))) & (forall p (forall y (  HasIncreased(p) ->   HasImproved(y)))) & (forall p (forall y (  HasImproved(y) ->   HasIncreased(p))))) -> (forall y (IsHumanWellBeing(y) and HasImproved(y)))","(exists e (exists h (exists i (exists u (exists b (exists p (exists k (exists d (exists o (exists c (exists j (exists f (exists q (exists v (exists m (exists s (exists g (exists l (exists n (exists w (exists x (exists a (exists r (exists t (IsAccessTo(a) and HasIncreased(a) and IsMortality(b) and HasDeclined(b) and IsFrom(c, b) and IsExtremeWeatherEvents(c) and IsDying(d) and IsFrom(e, d) and IsHeat(e) and IsDeathRates(f) and IsFrom(g, f) and IsClimateSensitiveDiseases(g) and IsMalaria(h) and IsDiarrhoea(i) and HasDecreased(f) and HasDeclined(j) and IsHungerRates(j) and HasDeclined(k) and IsPoverty(k) and IsGDPPerCapita(l) and HasQuadrupled(l) and IsCO2Levels(m) and HasSextupled(m) and IsLifeExpectancy(n) and HasDoubled(n) and IsFrom(o, n) and IsIndustrialisation(o) and IsHealthAdjustedLifeExpectancy(p) and HasIncreased(p) and IsGlobalInequality(q) and HasDecreased(q) and IsInTermsOf(r, q) and IsIncomes(r) and IsLifeExpectancies(s) and HasAccessTo(t) and AreLifeExpectancies(s) and IsAccessTo(t) and IsTheEarth(u) and IsGreen(u) and IsMoreProductive(u) and IsHabitat(v) and HasBeenLostTo(v, w) and IsAgriculture(w) and HasPeaked(v) and AreFossilFuelDependent(x))))))))))))))))))))))))) & (forall z (IsAccessTo(z) ->   HasImproved({))) & (  HasQuadrupled(|) ->   HasImproved(})) & (  HasDoubled(~) ->   HasImproved()) & (  HasImproved() ->   IsHealthAdjustedLifeExpectancy()) & (  HasIncreased() ->   HasImproved()) & (  HasImproved() ->   HasIncreased())) -> (exists y (IsHumanWellBeing(y) and HasImproved(y)))",
1,ad hominem,0,"In its 2015 human-rights report on the island nation , the U.S. State Department said that significant problems include “ chronic government corruption , and chronic domestic violence , ” along with “ child abuse , sex trafficking , and lack of legal provisions protecting worker ’ s rights. ”"," The U.S. State Department reported chronic government corruption, chronic domestic violence, child abuse, sex trafficking, and lack of legal provisions protecting workers' rights in the island nation.", There are significant human-rights issues in the island nation.,"ReportedChronic(b, c),  ReportedChronic(b, d),  Reported(b, e),  Reported(b, f),  ReportedLack(b, g, h)","IsIn(i, a)",[],"[(' island nation', ' island nation')]","[(' domestic violence', ' Human-rights issues'), (' child abuse', ' Human-rights issues'), (' sex trafficking', ' Human-rights issues'), ("" workers' rights"", ' Human-rights issues')]","ReportedChronic(b, c) and ReportedChronic(b, d) and Reported(b, e) and Reported(b, f) and ReportedLack(b, g, h)","IsIn(i, a)","(exists h (exists f (exists e (exists d (ReportedChronic(b, c) and ReportedChronic(b, d) and Reported(b, e) and Reported(b, f) and ReportedLack(b, g, h)))))) -> (forall i (IsIn(i, a)))","(exists c (exists b (exists e (exists f (exists g (exists h (exists d (ReportedChronic(b, c) and ReportedChronic(b, d) and Reported(b, e) and Reported(b, f) and ReportedLack(b, g, h))))))))) -> (exists i (exists a (IsIn(i, a))))",LF
2,faulty generalization,0,"Sea levels are projected to rise by more than 3 feet by the end of the century , wiping away beaches and coastal properties ."," Sea levels are projected to rise by more than 3 feet by the end of the century, wiping away beaches and coastal properties.", Beaches and coastal properties will be wiped away.,"ProjectedToRise(c),  WipesAwayBeaches(c, a),  WipesAwayCoastalProperties(c, b)","WipedAway(a),  WipedAway(b)","[('  WipesAwayBeaches(c, a)', 'WipedAway(a)'), ('  WipesAwayBeaches(c, a)', '  WipedAway(b)'), ('  WipedAway(b)', '  WipesAwayBeaches(c, a)'), ('WipedAway(a)', '  WipesAwayCoastalProperties(c, b)'), ('  WipesAwayCoastalProperties(c, b)', '  WipedAway(b)')]","[(' beaches', ' Beaches'), (' coastal properties', ' coastal properties')]","[(' beaches', ' coastal properties')]","ProjectedToRise(c) and (WipesAwayBeaches(c, a) and WipesAwayCoastalProperties(c, b))",WipedAway(a) and WipedAway(b),"(exists a (ProjectedToRise(c) and (WipesAwayBeaches(c, a) and WipesAwayCoastalProperties(c, b))) & (forall a (forall c (  WipesAwayBeaches(c, a) -> WipedAway(a)))) & (forall a (forall c (forall b (  WipesAwayBeaches(c, a) ->   WipedAway(b))))) & (forall a (forall c (forall b (  WipedAway(b) ->   WipesAwayBeaches(c, a))))) & (forall a (forall c (forall b (WipedAway(a) ->   WipesAwayCoastalProperties(c, b))))) & (forall c (forall b (  WipesAwayCoastalProperties(c, b) ->   WipedAway(b))))) -> (exists a (forall b (WipedAway(a) and WipedAway(b))))","(exists a (exists c (exists b (ProjectedToRise(c) and (WipesAwayBeaches(c, a) and WipesAwayCoastalProperties(c, b))))) & (forall e (forall f (forall g (  WipesAwayBeaches(e,f) -> WipedAway(g))))) & (forall i (forall h (forall j (  WipesAwayBeaches(h,i) ->   WipedAway(j))))) & (forall l (forall k (forall m (  WipedAway(k) ->   WipesAwayBeaches(l,m))))) & (forall p (forall o (forall n (WipedAway(n) ->   WipesAwayCoastalProperties(o,p))))) & (forall r (forall q (forall s (  WipesAwayCoastalProperties(q,r) ->   WipedAway(s)))))) -> (exists a (exists b (WipedAway(a) and WipedAway(b))))",Valid
3,faulty generalization,0,"As we 've noted in this space , the idea of `` settled science '' peddled by environmentalists and politicians defies the history of science , which has seen repeated upheavals of previous forms of `` settled science . ''"," Environmentalists and politicians peddle the idea of ""settled science.""", The concept of settled science has been repeatedly overturned in the history of science.,"PeddlesIdea(a,c),  PeddlesIdea(b,c)",Overturned(e),[],[],"[(' settled science', ' The concept of settled science')]","PeddlesIdea(a,c) and PeddlesIdea(b,c)",Overturned(e),"(PeddlesIdea(a,c) and PeddlesIdea(b,c)) -> (Overturned(e))","(exists a (exists c (exists b (PeddlesIdea(a,c) and PeddlesIdea(b,c))))) -> (exists e (Overturned(e)))",LF
4,appeal to emotion,0,"`` When scientists say bears are going extinct , I want people to realize what it looks like . Bears are going to starve to death , '' said Nicklen . ``", Bears are going extinct., Bears are going to starve to death.,IsGoingExtinct(a),IsGoingToStarveToDeath(a),"[('IsGoingExtinct(a)', 'IsGoingToStarveToDeath(a)'), ('IsGoingToStarveToDeath(a)', 'IsGoingExtinct(a)')]","[(' Bears', ' Bears')]",[],IsGoingExtinct(a),IsGoingToStarveToDeath(a),(IsGoingExtinct(a) & (forall a (IsGoingExtinct(a) -> IsGoingToStarveToDeath(a))) & (forall a (IsGoingToStarveToDeath(a) -> IsGoingExtinct(a)))) -> (IsGoingToStarveToDeath(a)),(exists a (IsGoingExtinct(a)) & (forall b (IsGoingExtinct(b) -> IsGoingToStarveToDeath(b))) & (forall c (IsGoingToStarveToDeath(c) -> IsGoingExtinct(c)))) -> (exists a (IsGoingToStarveToDeath(a))),Valid
5,equivocation,0,"No one and nothing would experience it directly since we all live in regions , not the globe ."," We all live in regions, not the globe.  ", No one and nothing experiences the globe directly.,"LiveIn(b, c),  NotLiveIn(b, a)","Experiences(d, a),  Experiences(e, a)",[],"[(' the globe', ' globe')]","[(' regions', ' the globe')]","LiveIn(b, c) and ~LiveIn(b, a)","~Experiences(d, a) and ~Experiences(e, a)","(exists c (LiveIn(b, c) and ~LiveIn(b, a))) -> (forall a (~Experiences(d, a) and ~Experiences(e, a)))","(exists a (exists c (exists b (LiveIn(b, c) and ~LiveIn(b, a))))) -> (exists e (exists a (exists d (~Experiences(d, a) and ~Experiences(e, a)))))",LF
6,intentional,0,"By 2070 , that could be about a third of the overall global population at that time .", A third of the overall global population could be affected by 2070.  , A significant portion of the global population will be impacted by 2070.,"IsAffectedBy(b, a)","IsSignificantPortion(c),  IsImpactedBy(b, c)","[('IsAffectedBy(b, a)', 'IsSignificantPortion(c)')]","[(' Overall global population', ' global population'), (' 2070', ' 2070')]",[],"IsAffectedBy(b, a)","IsSignificantPortion(c) and IsImpactedBy(b, c)","(IsAffectedBy(b, a) & (forall a (forall c (forall b (IsAffectedBy(b, a) -> IsSignificantPortion(c)))))) -> (IsSignificantPortion(c) and IsImpactedBy(b, c))","(exists a (exists b (IsAffectedBy(b, a))) & (forall e (forall f (forall g (IsAffectedBy(e,f) -> IsSignificantPortion(g)))))) -> (exists c (exists b (IsSignificantPortion(c) and IsImpactedBy(b, c))))",LF
7,fallacy of logic,0,"Dirty water , dirty air
and insect-borne diseases are a far greater problem today for most people world-wide . Habitat loss and human predation are a far greater problem for most animals . Elephants
won ’ t make it to see a warmer climate ."," Dirty water, dirty air, and insect-borne diseases are a far greater problem today for most people worldwide. Habitat loss and human predation are a far greater problem for most animals.", Elephants will not survive to experience a warmer climate.,"IsDirty(b),  IsDirty(c),  IsInsectBorne(d),  IsProblemFor(b, e),  IsProblemFor(c, e),  IsProblemFor(d, e),  IsProblemFor(f, a),  IsProblemFor(g, a)","IsWarmer(h),  WillNotSurviveToExperience(a, h)",[],"[(' Elephants', ' most animals')]","[(' human predation', ' Elephants')]","(IsDirty(b) and IsProblemFor(b, e)) and (IsDirty(c) and IsProblemFor(c, e)) and (IsInsectBorne(d) and IsProblemFor(d, e)) and IsProblemFor(f, a) and IsProblemFor(g, a)","IsWarmer(h) and WillNotSurviveToExperience(a, h)","(exists g ((IsDirty(b) and IsProblemFor(b, e)) and (IsDirty(c) and IsProblemFor(c, e)) and (IsInsectBorne(d) and IsProblemFor(d, e)) and IsProblemFor(f, a) and IsProblemFor(g, a))) -> (forall a (IsWarmer(h) and WillNotSurviveToExperience(a, h)))","(exists c (exists b (exists e (exists f (exists g (exists a (exists d ((IsDirty(b) and IsProblemFor(b, e)) and (IsDirty(c) and IsProblemFor(c, e)) and (IsInsectBorne(d) and IsProblemFor(d, e)) and IsProblemFor(f, a) and IsProblemFor(g, a))))))))) -> (exists h (exists a (IsWarmer(h) and WillNotSurviveToExperience(a, h))))",
8,fallacy of extension,0,"The problem with the proponents of man-made climate change theories isn ’ t that they might be wrong . The real issue is the arrogance and zealotry found in people who see science not as an ongoing process , but as a religion .", Proponents of man-made climate change theories are arrogant and zealous., Science is seen as a religion by proponents of man-made climate change theories.,"IsArrogant(a),  IsZealous(a)","IsSeenAs(b, c),  IsProponentOf(a, d)",[],"[(' proponents', ' Proponents of man-made climate change theories')]","[(' Proponents of man-made climate change theories', ' Science'), (' Proponents of man-made climate change theories', ' man-made climate change theories')]",IsArrogant(a) and IsZealous(a),"IsProponentOf(a, d) and IsSeenAs(b, c)","(exists a (IsArrogant(a) and IsZealous(a))) -> (forall d (forall b (IsProponentOf(a, d) and IsSeenAs(b, c))))","(exists a (IsArrogant(a) and IsZealous(a))) -> (exists a (exists c (exists d (exists b (IsProponentOf(a, d) and IsSeenAs(b, c))))))",LF
9,ad populum,0,"A recent study found that 9 million people died prematurely from pollution-related diseases in 2015 , accounting for 16 % of all deaths worldwide ."," ""9 million people died prematurely from pollution-related diseases in 2015."""," ""Pollution-related diseases cause a significant portion of deaths worldwide.""","DiedPrematurelyFromDisease(b, a),  OccurredInYear(b, c)","CauseSignificantPortionOfDeaths(a, d),  OccursWorldwide(d, e)",[],"[(' pollution-related diseases', ' Pollution-related diseases')]","[(' pollution-related diseases', ' deaths')]","DiedPrematurelyFromDisease(b, a) and OccurredInYear(b, c)","CauseSignificantPortionOfDeaths(a, d) and OccursWorldwide(d, e)","(exists a (DiedPrematurelyFromDisease(b, a) and OccurredInYear(b, c))) -> (forall d (CauseSignificantPortionOfDeaths(a, d) and OccursWorldwide(d, e)))","(exists a (exists c (exists b (DiedPrematurelyFromDisease(b, a) and OccurredInYear(b, c))))) -> (exists e (exists a (exists d (CauseSignificantPortionOfDeaths(a, d) and OccursWorldwide(d, e)))))",LF
