,label,updated_label,articles,Logical Form,Logical Form 2,result
0,0,false causality,"Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so give your money!","(exists e (forall b ((IsGiven(b,a) and IsInLimbo(c)) and IsInHeaven(e)))) -> (forall a (exists f (IsGiven(f,a))))","(exists e (exists b ((IsGiven(b,a) and IsInLimbo(c)) and IsInHeaven(e)))) -> (exists a (exists f (IsGiven(f,a))))",
1,0,appeal to emotion,"If everyone lived his or her life exactly like Jesus lived his life, the world would be a beautiful place!","(forall c (IsLivedExactlyLike(a,c))) -> (exists e (IsBeautiful(d) and IsAPlace(e)))","(exists c (IsLivedExactlyLike(a,c))) -> (exists e (IsBeautiful(d) and IsAPlace(e)))",LF
2,0,appeal to emotion,"I know you don’t like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo.",(IsKnitted(a) and IsFor(b)) -> (IsWorn(c) and MakesHappy(a)),(IsKnitted(a) and IsFor(b)) -> (IsWorn(c) and MakesHappy(a)),LF
3,0,ad populum,"Dave wants you to break into the spooky cabin with him. “Everyone does it,” he claims. What fallacy has he committed?","(IsInSpookyCabin(b)) -> (ShouldBreakInto(c,a)) and (forall (a) forall (c)  ShouldBreakInto(c,a) ->  IsInSpookyCabin(a))","(IsInSpookyCabin(b)) -> (ShouldBreakInto(c,a)) and (forall a (forall c ( ShouldBreakInto(c,a) ->  IsInSpookyCabin(a))))",LF
4,0,fallacy of credibility,"Ms. Drayer, the smartest person in the universe, says the debate is the best class, therefore it is.",(exists c (exists b (IsTeacherOf(b) and IsBestClass(c)))) -> (forall a (IsBestClass(a))) and (forall (d) forall (c)   IsBestClass(c) ->  IsBestClass(d)) and (forall (d) forall (c)  IsBestClass(d) ->   IsBestClass(c)),(exists c (exists b (IsTeacherOf(b) and IsBestClass(c)))) -> (exists a (IsBestClass(a))) and (forall d (forall c (  IsBestClass(c) ->  IsBestClass(d)))) and (forall d (forall c ( IsBestClass(d) ->   IsBestClass(c)))),LF
5,0,faulty generalization,Why did the blond cross the road?  Because she saw a shoe sale!,(IsBlonde(a) and IsCrossedTheRoad(a)) -> (IsThere(b) and IsShoeSale(c)),(IsBlonde(a) and IsCrossedTheRoad(a)) -> (IsThere(b) and IsShoeSale(c)),LF
6,0,appeal to emotion,"Timmy: Mom, what if I don’t believe in God?
Mom: Then you burn in Hell forever.  Why do you ask?
Timmy: No reason.
",(IsBelieveIn(a) and ~IsGod(b)) -> (IsBurnIn(a) and IsInHell(c) and IsForever(d)) and (forall (d) forall (b)   IsGod(b) ->   IsForever(d)),(IsBelieveIn(a) and ~IsGod(b)) -> (IsBurnIn(a) and IsInHell(c) and IsForever(d)) and (forall d (forall b (  IsGod(b) ->   IsForever(d)))),LF
7,0,false dilemma,"""If you never gave money to charity, then you must be a greedy millionaire."" What is this?",() -> (),() -> (),
8,0,fallacy of extension,Caroline says that she is going to have lunch with the new girl. Jenna says that she can't believe that Caroline is ditching her old friends for the new girl.,"(forall b (exists a (IsGoingToHaveLunch(a,b)))) -> (exists c (exists a (forall b (IsBelieve(c) and (IsDitching(a,b) or IsNewGirl(b))))))","(exists b (exists a (IsGoingToHaveLunch(a,b)))) -> (exists c (exists b (IsBelieve(c) and (IsDitching(a,b) or IsNewGirl(b)))))",
9,0,faulty generalization,"""You can never give anyone a break. If you do, they'll walk all over you.""",() -> (),() -> (),
