label,updated_label,articles,Logical Form,Logical Form 2
0,false causality,"Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so give your money!","(exists e (forall b ((IsGiven(b,a) & IsInLimbo(c)) -> IsInHeaven(e)))) -> (forall a (exists f (IsGiven(f,a))))","(exists e (exists b ((IsGiven(b,a) & IsInLimbo(c)) -> IsInHeaven(e)))) -> (exists a (exists f (IsGiven(f,a))))"
0,appeal to emotion,"If everyone lived his or her life exactly like Jesus lived his life, the world would be a beautiful place!","(forall c (IsLivedExactlyLike(a,c))) -> (exists e (IsBeautiful(d) -> IsAPlace(e)))","(exists c (IsLivedExactlyLike(a,c))) -> (exists e (IsBeautiful(d) -> IsAPlace(e)))"
0,appeal to emotion,"I know you don’t like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo.",(IsKnitted(a) -> IsFor(b)) -> (IsWorn(c) -> MakesHappy(a)),(IsKnitted(a) -> IsFor(b)) -> (IsWorn(c) -> MakesHappy(a))
0,ad populum,"Dave wants you to break into the spooky cabin with him. “Everyone does it,” he claims. What fallacy has he committed?","(IsInSpookyCabin(b)) -> (ShouldBreakInto(c,a))","(IsInSpookyCabin(b)) -> (ShouldBreakInto(c,a))"
0,fallacy of credibility,"Ms. Drayer, the smartest person in the universe, says the debate is the best class, therefore it is.",(exists c (exists b (IsTeacherOf(b) -> IsBestClass(c)))) -> (forall a (IsBestClass(a))),(exists c (exists b (IsTeacherOf(b) -> IsBestClass(c)))) -> (exists a (IsBestClass(a)))
0,faulty generalization,Why did the blond cross the road?  Because she saw a shoe sale!,(IsBlonde(a) -> IsCrossedTheRoad(a)) -> (IsThere(b) -> IsShoeSale(c)),(IsBlonde(a) -> IsCrossedTheRoad(a)) -> (IsThere(b) -> IsShoeSale(c))
0,appeal to emotion,"Timmy: Mom, what if I don’t believe in God?
Mom: Then you burn in Hell forever.  Why do you ask?
Timmy: No reason.
",(IsBelieveIn(a) -> ~IsGod(b)) -> (IsBurnIn(a) -> IsInHell(c) & IsForever(d)),(IsBelieveIn(a) -> ~IsGod(b)) -> (IsBurnIn(a) -> IsInHell(c) & IsForever(d))
0,false dilemma,"""If you never gave money to charity, then you must be a greedy millionaire."" What is this?",() -> (),() -> ()
0,fallacy of extension,Caroline says that she is going to have lunch with the new girl. Jenna says that she can't believe that Caroline is ditching her old friends for the new girl.,"(forall b (exists a (IsGoingToHaveLunch(a,b)))) -> (exists c (exists a (forall b (IsBelieve(c) -> (IsDitching(a,b) | IsNewGirl(b))))))","(exists b (exists a (IsGoingToHaveLunch(a,b)))) -> (exists c (exists b (IsBelieve(c) -> (IsDitching(a,b) | IsNewGirl(b)))))"
0,faulty generalization,"""You can never give anyone a break. If you do, they'll walk all over you.""",() -> (),() -> ()
1,,A white and black dog catching a Frisbee. It follows that the dog is playing with a toy thrown by a person.,"(forall a (IsCaught(a,b))) -> (exists c (IsPlaying(c) -> (Threw(d,e) & IsTheSamePerson(d,e))))","(exists a (IsCaught(a,b))) -> (exists c (IsPlaying(c) -> (Threw(d,e) & IsTheSamePerson(d,e))))"
1,,"A firefighter is putting wooden blocks under a crushed blue car. Therefore, the firefighter is putting something under the car.","(forall c (IsPutting(a,c) -> IsUnder(b))) -> (exists d (exists a (IsPutting(a,d) -> IsUnder(b)))) & (forall (b)   IsUnder(b) ->   IsUnder(b)) & (forall (b)   IsUnder(b) ->   IsUnder(b))","(exists c (IsPutting(a,c) -> IsUnder(b))) -> (exists d (exists a (IsPutting(a,d) -> IsUnder(b)))) & (forall (b)   IsUnder(b) ->   IsUnder(b)) & (forall (b)   IsUnder(b) ->   IsUnder(b))"
1,,"Hispanic woman wearing a red plaid shirt works on sewing an article of clothing. As a consequence, woman wearing a shirt sewing.",(forall c (exists b (IsHispanic(a) & IsWearingRedPlaidShirt(b) & WorksOnSewing(c)))) -> (exists f (forall e (IsWearing(e) -> IsSewing(f)))),(exists c (exists b (IsHispanic(a) & IsWearingRedPlaidShirt(b) & WorksOnSewing(c)))) -> (exists f (exists e (IsWearing(e) -> IsSewing(f))))
1,,"A group of people walking down the street with one on the phone in a green hat. Thus, people are outside.",(forall b (IsOutside(b))) -> (exists d (exists c (IsOnPhone(c) -> IsWearingGreenHat(d)))),(exists b (IsOutside(b))) -> (exists d (exists c (IsOnPhone(c) -> IsWearingGreenHat(d))))
1,,Six children run towards a soccer ball on an athletic field. It follows that children run towards a soccer ball.,"(exists b (IsRunTowards(b,a))) -> (forall c (IsRunTowards(c,a)))","(exists b (IsRunTowards(b,a))) -> (exists c (IsRunTowards(c,a)))"
1,,"A man with no shirt and purple pants crouches while tampering with a metallic object. Consequently, shirtless man tampers with metal thing.",(forall b (IsNoShirt(a) -> IsTampering(b))) -> (exists d (IsTampering(d))),(exists b (IsNoShirt(a) -> IsTampering(b))) -> (exists d (IsTampering(d)))
1,,A smiling girl in glasses and a blue-gray scarf with a smiling girl in a black coat leaning on her shoulder. This implies that the girls are smiling.,(exists c (exists a (IsInGlasses(a) -> (HasBlueGrayScarf(b) & Smiles(c))))) -> (forall d (IsSmiling(d))),(exists c (exists a (IsInGlasses(a) -> (HasBlueGrayScarf(b) & Smiles(c))))) -> (exists d (IsSmiling(d)))
1,,"A man in a yellow tie is rubbing the back of his neck. Hence, a man is rubbing his neck.",(forall b (IsRubbing(b))) -> (exists d (IsInYellowTie(c) -> IsRubbing(d))),(exists b (IsRubbing(b))) -> (exists d (IsInYellowTie(c) -> IsRubbing(d)))
1,,"A baseball player gets ready to catch a fly ball near the outfield fence. Therefore, a person is playing baseball outdoors.",(forall a (IsGettingReady(a) -> (IsABaseballPlayer(a) & IsCatchingFlyBall(a) & IsNearOutfieldFence(a)))) -> (exists c (IsPlayingBaseball(a) & IsOutdoors(c))) & (forall (a)  IsABaseballPlayer(a) ->  IsPlayingBaseball(a)) & (forall (a)  IsPlayingBaseball(a) ->  IsABaseballPlayer(a)),(exists a (IsGettingReady(a) -> (IsABaseballPlayer(a) & IsCatchingFlyBall(a) & IsNearOutfieldFence(a)))) -> (exists c (IsPlayingBaseball(a) & IsOutdoors(c))) & (forall (a)  IsABaseballPlayer(a) ->  IsPlayingBaseball(a)) & (forall (a)  IsPlayingBaseball(a) ->  IsABaseballPlayer(a))
1,,A bald man has hand on the shoulder of another man. It follows that a man is touching another person.,"(exists b (IsBald(a) & HasHandOnShoulder(b))) -> (forall d (forall c (IsTouching(c,d))))","(exists b (IsBald(a) & HasHandOnShoulder(b))) -> (exists d (exists c (IsTouching(c,d))))"
