logical_fallacies,label,articles,Logical Form,Logical Form 2
appeal to emotion,0,"Access to cleaner water has increased ; mortality from ‘ Extreme Weather Events ’ has declined by 99 per cent since the 1920s ; fewer people are dying from heat ; death rates from climate-sensitive diseases like malaria and diarrhoea have decreased ( since 1900 malaria death rates have declined 96 per cent ) ; hunger rates have declined ; poverty has declined ( GDP per capita has quadrupled since 1950 even as CO2 levels have sextupled ) ; life expectancy has more than doubled since the start of industrialisation ; health adjusted life expectancy has increased ; global inequality has decreased in terms of incomes , life expectancies and access to modern-day amenities ; the earth is green and more productive ; habitat lost to agriculture has peaked due to fossil fuel dependent technologies .","(IsAccessible(b) and IsCleanerWater(a)) -> (IsExtremeWeatherEvent(c) and HasDeclinedBy(d,e))","(exists a (exists b (IsAccessible(b) and IsCleanerWater(a)))) -> (exists e (exists c (exists d (IsExtremeWeatherEvent(c) and HasDeclinedBy(d,e)))))"
ad hominem,0,"In its 2015 human-rights report on the island nation , the U.S. State Department said that significant problems include “ chronic government corruption , and chronic domestic violence , ” along with “ child abuse , sex trafficking , and lack of legal provisions protecting worker ’ s rights. ”",(exists b (exists a (IsSignificant(a) and ExistsIn(b)))) -> (forall c ((IsChronic(c) and HasGovernmentCorruption(c)) or (HasDomesticViolence(c) and HasChildAbuse(c)) or (HasSexTrafficking(c) and LacksLegalProvisionsProtectingWorkerRights(c)))),(exists a (exists b (IsSignificant(a) and ExistsIn(b)))) -> (exists c ((IsChronic(c) and HasGovernmentCorruption(c)) or (HasDomesticViolence(c) and HasChildAbuse(c)) or (HasSexTrafficking(c) and LacksLegalProvisionsProtectingWorkerRights(c))))
faulty generalization,0,"Sea levels are projected to rise by more than 3 feet by the end of the century , wiping away beaches and coastal properties .",(exists a (exists b (IsRising(b) and IsMoreThan3Feet(a))) & (forall b (forall d ( IsRising(b) ->   IsEnvironmentalImpact(d)))) & (forall a (forall b ( IsRising(b) ->   IsSignificant(a)))) & (forall a (forall c (  IsMoreThan3Feet(a) ->  IsEconomicImpact(c)))) & (forall a (forall d (  IsMoreThan3Feet(a) ->   IsEnvironmentalImpact(d)))) & (forall a (  IsMoreThan3Feet(a) ->   IsSignificant(a)))) -> (forall a (forall d (IsEconomicImpact(c) and IsEnvironmentalImpact(d) and IsSignificant(a)))),(exists a (exists b (IsRising(b) and IsMoreThan3Feet(a))) & (forall f (forall g ( IsRising(f) ->   IsEnvironmentalImpact(g)))) & (forall h (forall i ( IsRising(h) ->   IsSignificant(i)))) & (forall j (forall k (  IsMoreThan3Feet(j) ->  IsEconomicImpact(k)))) & (forall l (forall m (  IsMoreThan3Feet(l) ->   IsEnvironmentalImpact(m)))) & (forall n (  IsMoreThan3Feet(n) ->   IsSignificant(n)))) -> (exists a (exists c (exists d (IsEconomicImpact(c) and IsEnvironmentalImpact(d) and IsSignificant(a)))))
faulty generalization,0,"As we 've noted in this space , the idea of `` settled science '' peddled by environmentalists and politicians defies the history of science , which has seen repeated upheavals of previous forms of `` settled science . ''",(exists a (forall c (IsSettled(c) and IsHistoryOfScience(a)))) -> (forall d (exists a (exists d (HasRepeatedUpheaval(d) and IsHistoryOfScience(a))))),(exists a (exists c (IsSettled(c) and IsHistoryOfScience(a)))) -> (exists a (exists d (HasRepeatedUpheaval(d) and IsHistoryOfScience(a))))
appeal to emotion,0,"`` When scientists say bears are going extinct , I want people to realize what it looks like . Bears are going to starve to death , '' said Nicklen . ``",(exists b (IsExtinct(b)) & (forall a ( IsGoingExtinct(a) ->  IsStarvingToDeath(a))) & (forall a ( IsStarvingToDeath(a) ->  IsGoingExtinct(a)))) -> (forall c (IsStarvingToDeath(a) and death(c))),(exists b (IsExtinct(b)) & (forall d ( IsGoingExtinct(d) ->  IsStarvingToDeath(d))) & (forall e ( IsStarvingToDeath(e) ->  IsGoingExtinct(e)))) -> (exists a (exists c (IsStarvingToDeath(a) and death(c))))
,1,"A white and black dog catching a Frisbee. Thus, the dog is playing with a toy thrown by a person.","(forall a (IsCaught(a,b))) -> (exists c (IsPlaying(c) and (Threw(d,e) and IsTheSamePerson(d,e))))","(exists a (exists b (IsCaught(a,b)))) -> (exists e (exists c (exists d (IsPlaying(c) and (Threw(d,e) and IsTheSamePerson(d,e))))))"
,1,"A firefighter is putting wooden blocks under a crushed blue car. Consequently, the firefighter is putting something under the car.","(forall c (IsPutting(a,c) and IsUnder(b))) -> (exists d (exists a (IsPutting(a,d) and IsUnder(b))))","(exists a (exists b (exists c (IsPutting(a,c) and IsUnder(b))))) -> (exists a (exists b (exists d (IsPutting(a,d) and IsUnder(b)))))"
,1,"Hispanic woman wearing a red plaid shirt works on sewing an article of clothing. Consequently, woman wearing a shirt sewing.",(exists b (exists a (IsHispanic(a) and WearsRedPlaidShirt(b))) & (forall a (forall c ( IsHispanic(a) ->  IsWearing(c)))) & (forall a (forall c ( IsWearing(c) ->  IsHispanic(a)))) & (forall b (forall c ( IsWearing(c) ->   WearsRedPlaidShirt(b)))) & (forall e (forall b (  WearsRedPlaidShirt(b) ->   IsAnArticleOfClothing(e))))) -> (forall e (forall d (forall c (IsWearing(c) and IsSewing(d) and IsAnArticleOfClothing(e))))),(exists a (exists b (IsHispanic(a) and WearsRedPlaidShirt(b))) & (forall f (forall g ( IsHispanic(f) ->  IsWearing(g)))) & (forall h (forall i ( IsWearing(h) ->  IsHispanic(i)))) & (forall j (forall k ( IsWearing(j) ->   WearsRedPlaidShirt(k)))) & (forall l (forall m (  WearsRedPlaidShirt(l) ->   IsAnArticleOfClothing(m))))) -> (exists e (exists c (exists d (IsWearing(c) and IsSewing(d) and IsAnArticleOfClothing(e)))))
,1,"A group of people walking down the street with one on the phone in a green hat. Hence, people are outside.",(forall b (IsOutside(b))) -> (exists d (exists c (IsOnPhone(c) and IsWearingGreenHat(d)))),(exists b (IsOutside(b))) -> (exists c (exists d (IsOnPhone(c) and IsWearingGreenHat(d))))
,1,"Six children run towards a soccer ball on an athletic field. Consequently, children run towards a soccer ball.","(exists b (IsRunTowards(b,a))) -> (forall c (IsRunTowards(c,a)))","(exists a (exists b (IsRunTowards(b,a)))) -> (exists a (exists c (IsRunTowards(c,a))))"
