,sentence1,sentence2,label,result
2624,A yellow backhoe near a large pile of dirt and rocks near a blue machine with a worker standing on it.,A worker is on a break.,0,1
2759,A man in a blue shirt emerges from a doorway.,A man is sitting at a table.,0,0
2941,A man in shorts and flip-flops is carrying a bag on his back.,A man is outside with no bag on his back.,0,0
870,A woman in a hooded type coat is holding a golden colored axe.,A man holds a sword.,0,0
3040,A public speaker in a plaid shirt speaks on the microphone.,A man is wearing a suit.,0,0
824,"Picture of two men playing in a band, one playing the drums and one playing a xylophone type of instrument, in a dark room with two unrecognizable people watching in the background.",A man is playing the trumpet on the street corner.,0,0
2975,"A skier being helped onto a red stretcher by three men, while two other men and a woman prepare to help.",A skier is standing on a blue stretcher while three men watch excitedly,0,0
2549,A man wearing a brown hoodie is shopping for snacks.,The man is wearing a red shirt.,0,0
1947,A man in a blue shirt and tan shorts has his feet in the steps of an exercise bicycle and is working on the control panel of the machine.,There is  no man,0,0
3018,A man playing the guitar while smoking a cigarette.,The man is also playing the drums,0,1
2932,A woman and two children walk along stones to cross a river while a dog swims.,A dog is sleeping.,0,0
2694,People waiting on a train platform.,People survive a horrible train crash.,0,1
1063,"Asian men sitting down, and some of them are wearing white and pink hats, while the others are wearing blue jackets with yellow sashes.",Asian women are sitting in a restaurant.,0,0
3095,A girl sits at a table in front of a plate of food.,There is no food on the plate.,0,0
3045,A skateboard is grinding on a curb with his skateboard.,The skateboard is resting.,0,0
2299,A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background,The girl is on a beach.,0,0
1457,A man is pushing many cartons of bread down the street.,A woman is baking bread in the oven.,0,0
1576,"A man in a black shirt is about to cross the road while on his cellphone, another man is laying on the ground while a lady in the background watches.",A child is upset and crying on the ground.,0,0
3094,Little girl is flipping an omelet in the kitchen.,A young girl cooks pancakes.,0,0
2207,"A man, with a blue wrapping around his foot, is about to kick another man, with a red cloth hanging from his belt, in the head.",a kitten drinks milk,0,0
219,Villagers pulling in the fish boat.,The villagers are sitting around the camp fire.,0,0
1906,"Two girls jumping on a trampoline, one upright and the other landing on her back, in a backyard.",The girls are in a rocket ship.,0,0
2892,A man jumps off a cliff with a city view below.,Man walks down a hill.,0,0
963,"Two men stand in the road, it almost appears to be some sort of movie set on a sunny day in California.",Everybody is sitting,0,0
2528,Seven young girls are being creative and making posters.,One girl is making posters.,0,0
471,"First Lady Laura Bush at podium, in front of seated audience, at the White House Conference on Global Literacy.",Laura Bush is driving a jet-ski near the Washington monument.,0,0
103,A man in an Alaska sweatshirt stands behind a counter.,The man is wearing a tank top.,0,0
2275,The large white bird grazes the water.,The bird is in a tiny cage,0,1
1724,Small girl in a pink dress is playing electronic drum pads with sticks.,the girl is playing cricket,0,0
1978,A woman poses for a picture with a child.,A woman and child climb a tree.,0,0
491,The man is sweeping with a red broom.,The man is dancing with a woman,0,0
2117,"A chef in a kitchen cuts a piece off of a large slab of rotating meat on a stick, probably lamb.",The chef is sleeping in his canoe.,0,0
1448,A man in dress pants and a blue dress shirt is walking in the shadows of nature.,a woman at the beach,0,0
1234,A dog leaps into the air for a tennis ball.,A dog is chasing a frisbee.,0,0
1897,A man rides a bicycle while a young girl holds onto the back of him.,The man is sitting on the ground.,0,0
2105,A woman swings on a rope overlooking a red farmhouse and gated pastures and tall trees.,the woman cooked a apple pie,0,0
1641,A group of people examine a boat with an orange flag that is sitting on sand next to a body of water.,People don't like sand.,0,1
820,"Two sweet young girls on ice skates, hands up and holding on to each other get ready to begin their performance on the ice.",Two female synchronized swimmers are in the pool.,0,0
1871,A woman with red-hair staples some papers,A red-haired woman is working on the computer.,0,0
2897,A male with sunglasses is poking at a tree with a pole.,Nobody is poking,0,0
1042,Three people are dressed in costumes and playing musical instruments.,The people are working at an office.,0,0
2442,An older man holding a sign for tattoos soliciting business on the street.,The man is VanGogh.,0,1
1521,Cheerleaders standing on a football field.,Cheerleaders are standing on a bridge.,0,0
2295,A man in green kick a soccer ball while a man in purple and white is falling down.,A man in green threw his soccer ball at the dog.,0,0
1172,A man sits outdoors with some of his belongings.,A man is inside.,0,0
385,"A man stands speaking to a crowd of sitting people, all wearing business attire.",A boy is riding a wave on his surfboard.,0,0
2351,three dogs run through the grass.,Three dogs sleep in the shade of an old tree.,0,0
2991,"Stretching high in the air, the player in the black shirt reaches for the football as the other stretches toward him to steal it away.",Two players are sitting on a couch.,0,1
2719,A few people are sitting inside of a building with lots of photography on the walls.,The people are attending an outdoor art festival.,0,0
1898,"There is one man with light blue jeans on, and one with dark blue jeans on that are walking down the street.",Two men are making pancakes in their swimtrunks.,0,0
1672,People are riding their bikes down a road.,No one is riding a bike.,0,0
2336,A man with a pinstriped shirt and tan slacks adjust his tie while looking at a apple laptop computer.,A woman adjusts her bra,0,0
806,A group of young men are dumping soil onto the ground of their backyard.,"The young men laze about on the beach, sunning themselves in the afternoon sun.",0,0
1821,"Two men in costumes with fake carrot noses, top hats, sunglasses and white fur coats that contain white electrical lights.",Nobody has a costume one,0,0
2342,Two people climbing up some sort of wore structure.,Two people take a ship to the moon,0,0
2959,"Two workers, one in a ditch and one standing on the ground, are working in front of a house.",The workers are sleeping.,0,0
1933,A woman sitting in an office.,A women outside,0,0
1310,A brown dog persues a Frisbee across the grass as the thrower watches.,A dog goes to the vet.,0,0
1190,Two boys inside a fence jump in the air while holding a basketball.,Two boys sit down.,0,0
3115,The small dog is running across the lawn.,A cat is running up a tree.,0,0
2675,a brown dog standing in the middle of a huge field.,A dog is riding in the car.,0,0
1824,Person fishing in river.,The man is shopping at the mall,0,0
2940,A couple walks hand-in-hand in front of Victorian-style building and a wall with a large sleeping baby painted on it.,A couple walks in front of a boat.,0,0
1850,"A woman wearing dollar sign glasses, holding a dollar bill, stands with a suitcase that says ""Lucky"" that is overflowing with cash.",She does a handstand in her business suit,0,0
285,The back of a woman wearing a white jacket with blue jeans walking towards a flock of birds.,There was a dog inside.,0,0
65,A bird is flapping its wings on the water.,The bird is flying over the trees.,0,0
1916,A young boy is hugging a wooden post.,A boy gets his tongue stuck to a metal post.,0,0
1911,"A man in a light brownish jacket, orange undershirt, blue jeans, and a black satchel, who has many sticks of cotton candy.",A naked man is picking apples.,0,0
1470,A man is painting letters using a stencil onto a round stand-up sign that is lying sideways.,A woman is writing on a napkin and showing it to her friend.,0,0
2965,"A young boy sits on the shoulders of a woman, who is carrying a young girl.",A woman is driving her kids around,0,1
1873,"It looks like quite a sweaty, smelly dog pile over one little rugby ball, but the boys in blue seem to want it more.",A little boy looks disgusted that is ball is dirty,0,1
1,"A woman with a green headscarf, blue shirt and a very big grin.",The woman has been shot.,0,0
459,Three people sitting on some stairs laughing.,The dogs are laughing.,0,0
792,Dog yawns,A dog is singing the National Anthem.,0,0
1061,A person obscured in shadow in a gymnasium.,The person is a vampire avoiding the sun.,0,1
1265,"A man with a blue, collared shirt sits in front of another man.",a man is laying at the bach,0,0
173,A young boy in green shorts balances on a pipe above a river.,Nobody is balancing.,0,0
2743,An elderly woman with a tan nun uniform on and glasses is taking a picture with her camera.,A woman is in a green nun uniform,0,0
1915,A canoe in the distance on a lake as seen from another canoe.,A canoe goes over a waterfall.,0,0
715,A child with blond-hair looking out of a screen door.,A child is being held by his mother at the mall.,0,0
1802,A man in glasses in a basement.,The man is sitting in his living room.,0,0
1188,Little girl with very curly hair drinking her cup of juice.,A girl with curly hair is taking a big bite from a hamburger.,0,0
2228,A person strolling through an orange tinted woods with a dog.,The person is inside.,0,0
812,Cityscape with four men on bikes serving as the focal point of picture.,Local robbers escape after stealing an otter,0,0
0,This church choir sings to the masses as they sing joyous songs from the book at a church.,A choir singing at a baseball game.,0,0
2934,A singer wearing a leather jacket performs on stage with dramatic lighting behind him.,the singer did not show up,0,0
1481,"Four men in safety gear, one holding a camera, are standing on a platform.",There are 6 men in priest robes,0,0
2601,A man with brown pants and boots moving a tent.,A hiker is sleeping in a tent.,0,0
452,four people standing on a hiking trail in a forest with big tree logs on the ground close to them.,Nobody is standing,0,0
2188,Scientists frantically research ways to finally eliminate male baldness.,"A group of scientists walks into a bar, and order a drink, then sit down and drink it.",0,0
2308,"Two people kickboxing, with others spectating.",Two people ticking each other,0,1
383,A man is walking in the street.,A man is playing golf.,0,0
2734,"A woman is sitting outside at a table, using a knife to cut into a sandwich.",A woman is sitting inside.,0,0
766,A person doing a trick on a snowboard.,A person is ice skating.,0,0
2838,"A blond woman with a tattoo of on an angel on her arm walking down the street, a concrete wall in the background.",Nobody has a tattoo,0,0
1189,"A music concerto is happening on stage, with the lights on spot, while the audience listens in the dark.",The people are at a play.,0,0
477,Two men and a Frisbee,Two men playing with a basketball.,0,0
1067,"While one man, in the white cap, is golfing, three other men are in the middle of a conversation.",Four guys go bowling at the lanes.,0,0
724,"A group of young adults with ""X"" on their hands, smiling.",The group of adults are crying hysterially.,0,0
2920,A black dog is swimming with a ball in his mouth.,The dog is asleep in the grass.,0,0
1575,"Coach talks with football player, other players and crowd in background.",A football coach talks with his player in front of the team and the crowd,1,1
2540,Two men watching one man make a golf putt on the set of Sports Center.,People watching sports.,1,1
1907,Six women wait to use a port-o-john in a field.,Women are outside.,1,1
1451,Women wearing a black top and glasses speaking into a blue tipped microphone with another woman beside her writing.,One woman speaking into a microphone while a second woman writes beside her.,1,1
8,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A tan girl runs leans over an object,1,1
930,A scientist studies a slide in order to work on her new creation.,A scientist studies a slide that is related to her invention.,1,1
1460,A red dog jumps and catches a tennis ball in its mouth.,a dog catching a ball,1,1
3176,A group of dogs stand in the snow.,There are animals outdoors.,1,1
1801,This person looks to be snowboarding on a very small pile of snow on a sunny cold day.,Young snowboarder sizing up their next jump,1,1
598,"A large number of people are watching men dressed in kilts, one of whom has thrown a long pole.",people watch men in kilts,1,1
122,A boy is riding down the road between two cows.,"A boy, a road and two cows.",1,1
2266,A bald man is getting out of a small blue car.,The man is bald.,1,1
142,Young boys in green and blue jerseys kick around a soccer ball while other soccer games take place in the background.,Young boys kicking around a soccer ball.,1,1
34,A girl playing a violin along with a group of people,A girl is playing an instrument.,1,1
214,Two small boys in blue soccer uniforms use a wooden set of steps to wash their hands in an adult-sized bathroom.,Two boys washing their hands,1,1
2770,A soccer player in white kicks a ball as another soccer player lunges towards the ball and a third soccer player in red follows close by.,There are three soccer players.,1,1
1161,Children playing a video game together.,The kids are indoors playing a video game.,1,1
1897,Two people in coats kiss on the side of a road.,People show their appreciation for another.,1,1
1170,Woman reading a book with a grocery tote.,A woman is reading.,1,1
2648,A man wearing a brown hoodie is shopping for snacks.,The man is wearing brown.,1,1
200,A young man in a blue T-shirt and sweatpants stands over a stove and looks at the camera while another young man stands behind him.,A man is in front of a camera.,1,1
0,This church choir sings to the masses as they sing joyous songs from the book at a church.,The church is filled with song.,1,1
2380,A man and a woman are standing at the side of an inflatable climbing structure.,A man and a woman are standing,1,1
2416,An asian teenager wearing a white shirt with black stripes is sitting on the steps with his face resting on his hand.,The teenager is seated.,1,1
1210,Boy in red and black shirt walks through grass.,The boy is walking.,1,1
152,These girls are having a great time looking for seashells.,The girls are happy.,1,1
1785,Small girl in a pink dress is playing electronic drum pads with sticks.,a girl is playing electronic drums,1,1
2948,"A blond woman with a tattoo of on an angel on her arm walking down the street, a concrete wall in the background.",A person with a tattoo,1,1
444,A tan dog chases a black and white soccer ball.,A dog is chasing a ball.,1,1
2709,A dusty boy runs along a dirt path through the grass.,A boy is outside running.,1,1
2614,"A guy with a football, a crowd watching him.",There is a guy holding a football.,1,1
