label,updated_label,articles,Logical Form,Logical Form 2
0,false causality,"Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so give your money!","(exists e (forall b ((IsGiven(b,a) and IsInLimbo(c)) and IsInHeaven(e)))) -> (forall a (exists f (IsGiven(f,a))))","(exists e (exists a (exists b (exists c ((IsGiven(b,a) and IsInLimbo(c)) and IsInHeaven(e)))))) -> (exists f (exists a (IsGiven(f,a))))"
0,appeal to emotion,"If everyone lived his or her life exactly like Jesus lived his life, the world would be a beautiful place!","(IsLivedExactlyLike(a,b) and (IsLivedExactlyLike(a,b) and IsGood(c))) -> (IsBeautiful(d))","(exists b (exists a (exists c (IsLivedExactlyLike(a,b) and (IsLivedExactlyLike(a,b) and IsGood(c)))))) -> (exists d (IsBeautiful(d)))"
0,appeal to emotion,"I know you don’t like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo.",(IsKnitted(a) and IsFor(b)) -> (IsWorn(c) and MakesHappy(a)),(exists b (exists a (IsKnitted(a) and IsFor(b)))) -> (exists a (exists c (IsWorn(c) and MakesHappy(a))))
0,ad populum,"Dave wants you to break into the spooky cabin with him. “Everyone does it,” he claims. What fallacy has he committed?","(IsInSpookyCabin(b) & (forall a (forall c ( ShouldBreakInto(c,a) ->  IsInSpookyCabin(a))))) -> (ShouldBreakInto(c,a))","(exists b (IsInSpookyCabin(b)) & (forall e (forall d ( ShouldBreakInto(d,e) ->  IsInSpookyCabin(e))))) -> (exists a (exists c (ShouldBreakInto(c,a))))"
0,fallacy of credibility,"Ms. Drayer, the smartest person in the universe, says the debate is the best class, therefore it is.",(exists b (exists a (IsTeacher(a) and IsBestClass(b)))) -> (forall e (IsBestClass(e))),(exists b (exists a (IsTeacher(a) and IsBestClass(b)))) -> (exists e (IsBestClass(e)))
0,faulty generalization,Why did the blond cross the road?  Because she saw a shoe sale!,(IsBlonde(b) and IsAtShoeSale(a)) -> (IsOnOtherSideOfRoad(d) and IsShoeSale(a)),(exists a (exists b (IsBlonde(b) and IsAtShoeSale(a)))) -> (exists a (exists d (IsOnOtherSideOfRoad(d) and IsShoeSale(a))))
0,appeal to emotion,"Timmy: Mom, what if I don’t believe in God?
Mom: Then you burn in Hell forever.  Why do you ask?
Timmy: No reason.
",(IsBelieveIn(a) and ~IsGod(b) & (forall b (forall d (  IsGod(b) ->   IsForever(d))))) -> (IsBurnIn(a) and IsInHell(c) and IsForever(d)),(exists b (exists a (IsBelieveIn(a) and ~IsGod(b))) & (forall f (forall e (  IsGod(e) ->   IsForever(f))))) -> (exists a (exists d (exists c (IsBurnIn(a) and IsInHell(c) and IsForever(d)))))
0,false dilemma,"""If you never gave money to charity, then you must be a greedy millionaire."" What is this?",() -> (),() -> ()
0,fallacy of extension,Caroline says that she is going to have lunch with the new girl. Jenna says that she can't believe that Caroline is ditching her old friends for the new girl.,"(forall b (exists a (IsGoingToHaveLunch(a,b)))) -> (exists c (exists a (forall b (IsBelieve(c) and (IsDitching(a,b) or IsNewGirl(b))))))","(exists b (exists a (IsGoingToHaveLunch(a,b)))) -> (exists b (exists a (exists c (IsBelieve(c) and (IsDitching(a,b) or IsNewGirl(b))))))"
0,faulty generalization,"""You can never give anyone a break. If you do, they'll walk all over you.""",() -> (),() -> ()
