label,updated_label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
0,false causality,"Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so give your money!",,,,,[],[],[],,,Logical Form: ((forall x (Gives10PercentToChurch(x) and FreesChildSoulFromLimboIntoHeaven(x))) and (forall y (GivesMoney(y) and FreesChildSoulFromLimboIntoHeaven(y)))),Logical Form: ((forall x (Gives10PercentToChurch(x) and FreesChildSoulFromLimboIntoHeaven(x))) and (forall y (GivesMoney(y) and FreesChildSoulFromLimboIntoHeaven(y))))
0,appeal to emotion,"If everyone lived his or her life exactly like Jesus lived his life, the world would be a beautiful place!",,,,,[],[],[],,,Logical Form: (forall x (LivesLifeExactlyLikeJesus(x) and IsBeautifulPlace(World))) and (IsBeautifulPlace(World)),Logical Form: (forall x (LivesLifeExactlyLikeJesus(x) and IsBeautifulPlace(World))) and (IsBeautifulPlace(World))
0,appeal to emotion,"I know you don’t like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo.",,,,,[],[],[],,,"Logical Form: ((~LikesKittyCatSweater(You) and ~WearsKittyCatSweater(You)) and (WorkedHard(Grandma) and WillMakeHappy(Grandma, You))) and (SeesWearingInFamilyHolidayPhoto(Grandma, You) and WearsKittyCatSweater(You))","Logical Form: ((~LikesKittyCatSweater(You) and ~WearsKittyCatSweater(You)) and (WorkedHard(Grandma) and WillMakeHappy(Grandma, You))) and (SeesWearingInFamilyHolidayPhoto(Grandma, You) and WearsKittyCatSweater(You))"
0,ad populum,"Dave wants you to break into the spooky cabin with him. “Everyone does it,” he claims. What fallacy has he committed?",,,,,[],[],[],,,"Logical Form: ((forall x (IsSpookyCabin(x) and (WantsToBreakIn(Dave, x) and DoesBreakIn(y, x)))) and (claims(Dave) and (forall z (DoesIt(z) and Fallacy(z)))))","Logical Form: ((forall x (IsSpookyCabin(x) and (WantsToBreakIn(Dave, x) and DoesBreakIn(y, x)))) and (claims(Dave) and (forall z (DoesIt(z) and Fallacy(z)))))"
0,fallacy of credibility,"Ms. Drayer, the smartest person in the universe, says the debate is the best class, therefore it is.",,,,,[],[],[],,,Logical Form: (IsSmartest(MsDrayer) and (DebateIsBestClass and IsTrue(DebateIsBestClass))) and IsTrue(DebateIsBestClass),Logical Form: (IsSmartest(MsDrayer) and (DebateIsBestClass and IsTrue(DebateIsBestClass))) and IsTrue(DebateIsBestClass)
0,faulty generalization,Why did the blond cross the road?  Because she saw a shoe sale!,,,,,[],[],[],,,Logical Form: (forall x (IsBlond(x) and (CrossedRoad(x) <and SawShoeSale(x)))) and (exists y (IsBlond(y) and SawShoeSale(y) and CrossedRoad(y))),Logical Form: (forall x (IsBlond(x) and (CrossedRoad(x) <and SawShoeSale(x)))) and (exists y (IsBlond(y) and SawShoeSale(y) and CrossedRoad(y)))
0,appeal to emotion,"Timmy: Mom, what if I don’t believe in God?
Mom: Then you burn in Hell forever.  Why do you ask?
Timmy: No reason.
",,,,,[],[],[],,,Logical Form: (BelievesInGod(Timmy) and ~BurnInHell(Timmy)) and (BelievesInGod(Timmy) and Forever(BurnInHell(Timmy))) and ~AsksWhy(Timmy),Logical Form: (BelievesInGod(Timmy) and ~BurnInHell(Timmy)) and (BelievesInGod(Timmy) and Forever(BurnInHell(Timmy))) and ~AsksWhy(Timmy)
0,false dilemma,"""If you never gave money to charity, then you must be a greedy millionaire."" What is this?",,,,,[],[],[],,,Logical Form: (forall x (NeverGaveMoneyToCharity(x) and IsGreedyMillionaire(x))),Logical Form: (forall x (NeverGaveMoneyToCharity(x) and IsGreedyMillionaire(x)))
0,fallacy of extension,Caroline says that she is going to have lunch with the new girl. Jenna says that she can't believe that Caroline is ditching her old friends for the new girl.,,,,,[],[],[],,,"Logical Form: (Says(Caroline, GoingToHaveLunchWith(NewGirl)) and Says(Jenna, ~Believes(Ditching(OldFriends, NewGirl)))) and (forall x (IsNewGirl(x) and (Says(Caroline, GoingToHaveLunchWith(x)) and ~Believes(Jenna, Ditching(OldFriends, x)))))","Logical Form: (Says(Caroline, GoingToHaveLunchWith(NewGirl)) and Says(Jenna, ~Believes(Ditching(OldFriends, NewGirl)))) and (forall x (IsNewGirl(x) and (Says(Caroline, GoingToHaveLunchWith(x)) and ~Believes(Jenna, Ditching(OldFriends, x)))))"
0,faulty generalization,"""You can never give anyone a break. If you do, they'll walk all over you.""",,,,,[],[],[],,,Logical Form: (forall x (GivesBreak(x) and ~Respect(x))) and (forall y (GivesBreak(y) and WalksAllOver(y))),Logical Form: (forall x (GivesBreak(x) and ~Respect(x))) and (forall y (GivesBreak(y) and WalksAllOver(y)))
0,false causality,"Believing that ""runs"" occur to statistically independent phenomena such as routine wheel spirits.",,,,,[],[],[],,,"Logical Form: (forall x (Believes(x, RunsOccurToStatisticallyIndependentPhenomena) and ~IsDependent(x)))","Logical Form: (forall x (Believes(x, RunsOccurToStatisticallyIndependentPhenomena) and ~IsDependent(x)))"
0,false causality,"I broke a mirror earlier in the day, and then I received an F on my history final. Therefore, I received the F because I broke the mirror.",,,,,[],[],[],,,"Logical Form: ((IsBrokenMirrorEarlierInTheDay(x) and IsReceivedFOnHistoryFinal(y)) and (IsReceivedFBecauseBrokenMirror(y, x))) and ((forall z (IsBrokenMirror(z) and IsReceivedFBecauseBrokenMirror(y, z))))","Logical Form: ((IsBrokenMirrorEarlierInTheDay(x) and IsReceivedFOnHistoryFinal(y)) and (IsReceivedFBecauseBrokenMirror(y, x))) and ((forall z (IsBrokenMirror(z) and IsReceivedFBecauseBrokenMirror(y, z))))"
0,fallacy of extension,"Charlie: I think we should put more money into schools. Quality public education is so important.
Bob: So you’re saying we should cut military spending and spend it instead on more spiral notebooks and crayons? I guess you want our country to be a weak, defenseless target for terrorists.
Charlie: Creo que deberíamos invertir más dinero en las escuelas. La educación pública de calidad es muy importante.

Bob: ¿Entonces estás diciendo que deberíamos recortar el gasto militar y gastarlo en más cuadernos de espiral y crayones? Supongo que quiere que nuestro país sea un objetivo débil e indefenso para los terroristas.",,,,,[],[],[],,,((InvestMoreMoneyInSchools and ImportantPublicEducation) and (CutMilitarySpending and SpendOnSchoolSupplies)) and (WantsCountryToBeWeakAndDefenseless and (~IsEducated)),((InvestMoreMoneyInSchools and ImportantPublicEducation) and (CutMilitarySpending and SpendOnSchoolSupplies)) and (WantsCountryToBeWeakAndDefenseless and (~IsEducated))
0,false causality,"Cellphones weren’t invented before I was born. Now, they are everywhere! Therefore, cellphones were created because I was born.",,,,,[],[],[],,,Logical Form: ((~InventedBefore(Born(I)) and Everywhere(Cellphones)) and (Everywhere(Cellphones) and CreatedBecause(Born(I)))) and (Created(Cellphones) <and Born(I)),Logical Form: ((~InventedBefore(Born(I)) and Everywhere(Cellphones)) and (Everywhere(Cellphones) and CreatedBecause(Born(I)))) and (Created(Cellphones) <and Born(I))
0,ad hominem,Ms. Baker assigned me a lot of homework because she’s a witch!,,,,,[],[],[],,,"Logical Form: ((IsAssignedHomework(Ms.Baker, me) and IsWitch(Ms.Baker)) and IsWitch(Ms.Baker)) and IsAssignedHomework(Ms.Baker, me)","Logical Form: ((IsAssignedHomework(Ms.Baker, me) and IsWitch(Ms.Baker)) and IsWitch(Ms.Baker)) and IsAssignedHomework(Ms.Baker, me)"
0,fallacy of credibility,"My dad went to school, so he knows everything about the education system.",,,,,[],[],[],,,"((WentToSchool(MyDad) and KnowsEverything(MyDad, EducationSystem)) and (WentToSchool(MyDad) and KnowsEverything(MyDad, EducationSystem)))","((WentToSchool(MyDad) and KnowsEverything(MyDad, EducationSystem)) and (WentToSchool(MyDad) and KnowsEverything(MyDad, EducationSystem)))"
0,ad populum,Everyone is doing the Low-Carb Diet.,,,,,[],[],[],,,Logical Form: (forall x (IsDoingLowCarbDiet(x) and IsEveryone(x))),Logical Form: (forall x (IsDoingLowCarbDiet(x) and IsEveryone(x)))
0,fallacy of extension,"Parent: You need to clean out your backpack.
Child: You know I have ADD! Why can’t you just accept me as I am?",,,,,[],[],[],,,"Logical Form: (forall x (HasADD(x) and ~NeedsToCleanBackpack(x))) and (forall y (IsParent(y) and AcceptAsIs(y, x))) and (forall z (CanCleanOutBackpack(z) and NeedsToCleanBackpack(z)))","Logical Form: (forall x (HasADD(x) and ~NeedsToCleanBackpack(x))) and (forall y (IsParent(y) and AcceptAsIs(y, x))) and (forall z (CanCleanOutBackpack(z) and NeedsToCleanBackpack(z)))"
0,fallacy of credibility,"X has been around for years now.
Y is new.
Therefore, Y is better than X.",,,,,[],[],[],,,"Logical Form: ((IsAroundForYears(X) and IsNew(Y)) and (IsBetter(Y, X)))","Logical Form: ((IsAroundForYears(X) and IsNew(Y)) and (IsBetter(Y, X)))"
0,false causality,"""Right when I sneezed, the power went off. I must've caused the outage."" Bragged Zohaw.",,,,,[],[],[],,,Logical Form: ((IsSneezing(I) and ~IsPowerOn) and CausedOutage(I)) and (forall x (IsSneezing(x) and CausedOutage(x))),Logical Form: ((IsSneezing(I) and ~IsPowerOn) and CausedOutage(I)) and (forall x (IsSneezing(x) and CausedOutage(x)))
0,equivocation,"I like my steak rare. But I don’t care for aardvark steak, even though it’s the rarest steak in the world.",,,,,[],[],[],,,Logical Form: ((LikesSteak(RareSteak) and ~LikesSteak(AardvarkSteak)) and (IsRarestSteak(AardvarkSteak) and ~LikesSteak(AardvarkSteak))) and (LikesSteak(RareSteak) and ~LikesSteak(AardvarkSteak)),Logical Form: ((LikesSteak(RareSteak) and ~LikesSteak(AardvarkSteak)) and (IsRarestSteak(AardvarkSteak) and ~LikesSteak(AardvarkSteak))) and (LikesSteak(RareSteak) and ~LikesSteak(AardvarkSteak))
0,faulty generalization,"If you allow the students to redo this one test, they will always want to redo all future tests",,,,,[],[],[],,,Logical Form: (forall x ((AllowsRedoTest(x) and IsStudent(x)) and (WantsRedoFutureTests(x)))) and (exists y (IsTest(y) and IsRedoable(y))) and (forall z (IsTest(z) and (IsRedoable(z) and (WantsRedoFutureTests(z) and IsStudent(z))))),Logical Form: (forall x ((AllowsRedoTest(x) and IsStudent(x)) and (WantsRedoFutureTests(x)))) and (exists y (IsTest(y) and IsRedoable(y))) and (forall z (IsTest(z) and (IsRedoable(z) and (WantsRedoFutureTests(z) and IsStudent(z)))))
0,fallacy of relevance,"There is no need for additional taxes for education. Every year we throw more money into education, and all they do is hire more management and build more buildings. None of the money actually reaches the classroom or is really used for education.",,,,,[],[],[],,,Logical Form: (forall x (IsAdditionalTaxForEducation(x) and ~IsNeeded(x))) and (forall y (IsYearlyFunding(y) and IsForEducation(y) and (HiresManagement(y) and BuildsBuildings(y)))) and (forall z (IsFunding(z) and IsForEducation(z) and ~ReachesClassroom(z) and ~IsUsedForEducation(z))),Logical Form: (forall x (IsAdditionalTaxForEducation(x) and ~IsNeeded(x))) and (forall y (IsYearlyFunding(y) and IsForEducation(y) and (HiresManagement(y) and BuildsBuildings(y)))) and (forall z (IsFunding(z) and IsForEducation(z) and ~ReachesClassroom(z) and ~IsUsedForEducation(z)))
0,false causality,Believing that the cause of the Reformation was simply Martin Luther posting his theses,,,,,[],[],[],,,"Logical Form: (Believes(x, CauseOfReformation and (PostedTheses(MartinLuther) and IsSoleCause(MartinLuther)))) and (IsCauseOfReformation(MartinLuther))","Logical Form: (Believes(x, CauseOfReformation and (PostedTheses(MartinLuther) and IsSoleCause(MartinLuther)))) and (IsCauseOfReformation(MartinLuther))"
0,false causality,The party was going great! Then Gerald showed up and little by little people started collecting their coats and heading home. Gerald ruined the party.,,,,,[],[],[],,,"Logical Form: ((IsGoingGreat(Party) and IsShowedUp(Gerald)) and (forall x (IsCollectingCoats(x) and IsHeadingHome(x)))) and (IsRuined(Gerald, Party) and ~IsGoingGreat(Party))","Logical Form: ((IsGoingGreat(Party) and IsShowedUp(Gerald)) and (forall x (IsCollectingCoats(x) and IsHeadingHome(x)))) and (IsRuined(Gerald, Party) and ~IsGoingGreat(Party))"
0,fallacy of logic,"I can’t stop eating these chocolates.  I really love chocolate, or I seriously lack willpower.  I know I really love chocolate; therefore, I cannot lack willpower.",,,,,[],[],[],,,Logical Form: ((LovesChocolate and ~LacksWillpower) and (~LacksWillpower or LovesChocolate)) and (forall x (IsEatingChocolates(x) and IsLackingWillpower(x))),Logical Form: ((LovesChocolate and ~LacksWillpower) and (~LacksWillpower or LovesChocolate)) and (forall x (IsEatingChocolates(x) and IsLackingWillpower(x)))
0,false causality,"Shortly after MySpace became popular, U.S. soldiers found Saddam Hussein.",,,,,[],[],[],,,"Logical Form: ((IsPopular(MySpace) and Found(Soldiers, SaddamHussein)) and (ShortlyAfter(IsPopular(MySpace), Found(Soldiers, SaddamHussein))))","Logical Form: ((IsPopular(MySpace) and Found(Soldiers, SaddamHussein)) and (ShortlyAfter(IsPopular(MySpace), Found(Soldiers, SaddamHussein))))"
0,false causality,Jimmy isn't at school today. He must be on a family trip.,,,,,[],[],[],,,Logical Form: (IsAtSchool(Jimmy) and ~IsOnFamilyTrip(Jimmy)) and (~IsAtSchool(Jimmy) and IsOnFamilyTrip(Jimmy)),Logical Form: (IsAtSchool(Jimmy) and ~IsOnFamilyTrip(Jimmy)) and (~IsAtSchool(Jimmy) and IsOnFamilyTrip(Jimmy))
0,circular reasoning,"I am athletic because I run, and I run because I'm athletic.",,,,,[],[],[],,,Logical Form: ((forall x (IsAthletic(x) and Runs(x))) and (forall y (Runs(y) and IsAthletic(y)))) and (IsAthletic(I) <and Runs(I)),Logical Form: ((forall x (IsAthletic(x) and Runs(x))) and (forall y (Runs(y) and IsAthletic(y)))) and (IsAthletic(I) <and Runs(I))
