logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
appeal to emotion,0,"Access to cleaner water has increased ; mortality from ‘ Extreme Weather Events ’ has declined by 99 per cent since the 1920s ; fewer people are dying from heat ; death rates from climate-sensitive diseases like malaria and diarrhoea have decreased ( since 1900 malaria death rates have declined 96 per cent ) ; hunger rates have declined ; poverty has declined ( GDP per capita has quadrupled since 1950 even as CO2 levels have sextupled ) ; life expectancy has more than doubled since the start of industrialisation ; health adjusted life expectancy has increased ; global inequality has decreased in terms of incomes , life expectancies and access to modern-day amenities ; the earth is green and more productive ; habitat lost to agriculture has peaked due to fossil fuel dependent technologies ."," ""Access to cleaner water has increased."""," ""Mortality from 'Extreme Weather Events' has declined by 99 per cent since the 1920s.""", IsAccessed(a)," IsExtreme(b),  HasDeclined(c),  IsIn1920s(d)",[],[],[],IsAccessed(a),IsExtreme(b) and ~HasDeclined(c),(IsAccessed(a)) -> (IsExtreme(b) and ~HasDeclined(c)),(exists a (IsAccessed(a))) -> (exists b (exists c (IsExtreme(b) and ~HasDeclined(c))))
ad hominem,0,"In its 2015 human-rights report on the island nation , the U.S. State Department said that significant problems include “ chronic government corruption , and chronic domestic violence , ” along with “ child abuse , sex trafficking , and lack of legal provisions protecting worker ’ s rights. ”"," ""The U.S. State Department said that significant problems exist in the island nation."""," ""The island nation has chronic government corruption, chronic domestic violence, child abuse, sex trafficking, and lack of legal provisions protecting worker's rights.""", IsInIslandNation(b)," IsChronic(c),  HasGovernmentCorruption(c),  HasDomesticViolence(c),  HasChildAbuse(c),  HasSexTrafficking(c),  LacksLegalProvisionsProtectingWorkersRights(c)","[(' IsInIslandNation(b)', '  HasGovernmentCorruption(c)')]",[],"[(' U.S. State Department', ''), (' island nation.', '')]",IsInIslandNation(b),"Note: The logical form is a first-order logical formula, which is a statement that can be evaluated to true or false using logical reasoning and the properties associated with the referring expressions.","(IsInIslandNation(b) & (forall b (forall c ( IsInIslandNation(b) ->   HasGovernmentCorruption(c))))) -> (Note: The logical form is a first-order logical formula, which is a statement that can be evaluated to true or false using logical reasoning and the properties associated with the referring expressions.)","(exists b (IsInIslandNation(b)) & (forall d (forall e ( IsInIslandNation(d) ->   HasGovernmentCorruption(e))))) -> (exists a (Note: The logical form is a first-order logical formula, which is a statement that can be evaluated to true or false using logical reasoning and the properties associated with the referring expressions.))"
faulty generalization,0,"Sea levels are projected to rise by more than 3 feet by the end of the century , wiping away beaches and coastal properties ."," ""Sea levels will rise by more than 3 feet by the end of the century."""," ""Economic and environmental impacts will be significant.""", IsRising(a)," IsEconomic(c),  IsEnvironmental(d),  IsSignificant(e)","[('  IsEnvironmental(d)', ' IsRising(a)'), ('  IsSignificant(e)', ' IsRising(a)')]",[],"[(' Sea levels', ' environmental impacts'), (' end of the century', ' will be significant.')]",IsRising(a) and ~ByMoreThan3Feet(b),(IsEconomic(c) and IsEnvironmental(d)) and IsSignificant(e),(exists b (exists a (IsRising(a) and ~ByMoreThan3Feet(b))) & (forall d (forall a (  IsEnvironmental(d) ->  IsRising(a)))) & (forall e (forall a (  IsSignificant(e) ->  IsRising(a))))) -> (forall e (forall d ((IsEconomic(c) and IsEnvironmental(d)) and IsSignificant(e)))),(exists b (exists a (IsRising(a) and ~ByMoreThan3Feet(b))) & (forall g (forall f (  IsEnvironmental(f) ->  IsRising(g)))) & (forall h (forall i (  IsSignificant(h) ->  IsRising(i))))) -> (exists d (exists e (exists c ((IsEconomic(c) and IsEnvironmental(d)) and IsSignificant(e)))))
faulty generalization,0,"As we 've noted in this space , the idea of `` settled science '' peddled by environmentalists and politicians defies the history of science , which has seen repeated upheavals of previous forms of `` settled science . ''"," ""The idea of'settled science' defies the history of science."""," ""Repeated upheavals of previous forms of'settled science' have occurred in the history of science."""," IsSettled(c),  IsHistoryOfScience(a)"," HasRepeatedUpheaval(d),  IsHistoryOfScience(a)","[('  IsHistoryOfScience(a)', ' HasRepeatedUpheaval(d)')]","[(' history of science.', ' history of science.')]","[(' The idea', ' previous forms of settled science'), (' previous forms of settled science', ' settled science'), (' history of science.', ' settled science'), (' history of science.', ' previous forms of settled science')]",IsSettled(c) and ~IsHistoryOfScience(a),HasRepeatedUpheaval(d) and IsHistoryOfScience(a),(exists a (forall c (IsSettled(c) and ~IsHistoryOfScience(a))) & (forall d (forall a (  IsHistoryOfScience(a) ->  HasRepeatedUpheaval(d))))) -> (forall d (exists a (exists d (HasRepeatedUpheaval(d) and IsHistoryOfScience(a))))),(exists a (exists c (IsSettled(c) and ~IsHistoryOfScience(a))) & (forall e (forall f (  IsHistoryOfScience(e) ->  HasRepeatedUpheaval(f))))) -> (exists d (exists a (HasRepeatedUpheaval(d) and IsHistoryOfScience(a))))
appeal to emotion,0,"`` When scientists say bears are going extinct , I want people to realize what it looks like . Bears are going to starve to death , '' said Nicklen . ``"," ""Bears are going extinct."""," ""Bears are starving to death because they can't find food.""", IsGoingExtinct(a)," IsStarving(a),  Can'tFindFood(a)",[],"[(' Bears', ' Bears')]",[],IsGoingExtinct(b),IsStarving(a) and ~CanFindFood(a),(IsGoingExtinct(b)) -> (IsStarving(a) and ~CanFindFood(a)),(exists b (IsGoingExtinct(b))) -> (exists a (IsStarving(a) and ~CanFindFood(a)))
equivocation,0,"No one and nothing would experience it directly since we all live in regions , not the globe ."," ""No one and nothing experiences it directly."""," ""We all live in regions, not the globe."""," IsExperiencedDirectly(a),  IsExperiencedDirectly(b)"," IsLivedIn(c),  IsLivedIn(d),  IsLivedIn(e)",[],[],[],~IsExperiencedDirectly(a) and ~IsExperiencedDirectly(b),IsLivedIn(c) and ~IsLivedIn(d) and ~IsLivedIn(e),(~IsExperiencedDirectly(a) and ~IsExperiencedDirectly(b)) -> (IsLivedIn(c) and ~IsLivedIn(d) and ~IsLivedIn(e)),(exists b (exists a (~IsExperiencedDirectly(a) and ~IsExperiencedDirectly(b)))) -> (exists d (exists e (exists c (IsLivedIn(c) and ~IsLivedIn(d) and ~IsLivedIn(e)))))
intentional,0,"By 2070 , that could be about a third of the overall global population at that time ."," By 2070, a third of the global population will be made up of people who are 65 or older.", There will be a significant increase in the number of elderly people in the world by 2070., Is65OrOlder(b)," WillHaveIncrease(d,e)",[],[],"[(' elderly people', ' global population'), (' world', ' global population'), (' elderly people', ' people'), (' people', ' world'), (' 65 or older.', ' elderly people'), (' 65 or older.', ' world'), (' 2070', ' 65 or older.')]",Is65OrOlder(b) and (a = global population),"WillHaveIncrease(d,e) and ~IsIn2070(f)","(forall b (forall a (Is65OrOlder(b) and (a = global population)))) -> (forall e (exists e (exists d (WillHaveIncrease(d,e) and ~IsIn2070(f)))))","(exists b (exists a (Is65OrOlder(b) and (a = global population)))) -> (exists d (exists e (exists f (WillHaveIncrease(d,e) and ~IsIn2070(f)))))"
fallacy of logic,0,"Dirty water , dirty air
and insect-borne diseases are a far greater problem today for most people world-wide . Habitat loss and human predation are a far greater problem for most animals . Elephants
won ’ t make it to see a warmer climate ."," ""Habitat loss and human predation are a far greater problem for most animals."""," ""Elephants won't make it to see a warmer climate."""," IsHabitatLossGreater(a),  IsHumanPredationGreater(b),  IsMostAnimalsGreater(c)", IsInWarmerClimate(e),[],[],[],IsHabitatLossGreater(a) and IsHumanPredationGreater(b) and IsMostAnimalsGreater(c),IsInWarmerClimate(d),(IsHabitatLossGreater(a) and IsHumanPredationGreater(b) and IsMostAnimalsGreater(c)) -> (IsInWarmerClimate(d)),(exists b (exists a (exists c (IsHabitatLossGreater(a) and IsHumanPredationGreater(b) and IsMostAnimalsGreater(c))))) -> (exists d (IsInWarmerClimate(d)))
fallacy of extension,0,"The problem with the proponents of man-made climate change theories isn ’ t that they might be wrong . The real issue is the arrogance and zealotry found in people who see science not as an ongoing process , but as a religion ."," ""Man-made climate change theories are wrong."""," ""People who see science as a religion are arrogant and zealous.""", IsWrong(c)," IsArrogant(g),  IsZealous(h)",[],[],"[(' science', ' theories'), (' zealous.', ' theories'), (' arrogant', ' wrong'), (' wrong', ' zealous.')]",IsWrong(b),IsArrogant(g) and IsZealous(h),(forall b (IsWrong(b))) -> (exists h (IsArrogant(g) and IsZealous(h))),(exists b (IsWrong(b))) -> (exists h (exists g (IsArrogant(g) and IsZealous(h))))
ad populum,0,"A recent study found that 9 million people died prematurely from pollution-related diseases in 2015 , accounting for 16 % of all deaths worldwide ."," ""9 million people died prematurely from pollution-related diseases in 2015."""," ""Pollution caused 16% of all deaths worldwide in 2015."""," IsDiedPrematurely(b),  IsFromPollution(c)"," IsCausedBy(d),  IsDeaths(e),  IsWorldwide(f)","[(' IsCausedBy(d)', ' IsDiedPrematurely(b)')]","[(' 2015', ' 2015')]","[(' 9 million people', ' worldwide'), (' pollution-related diseases', ' worldwide'), (' 2015', ' worldwide')]",IsDiedPrematurely(b) and IsFromPollution(c),IsCausedBy(d) and IsDeaths(e) and IsWorldwide(f),(exists c (exists b (IsDiedPrematurely(b) and IsFromPollution(c))) & (forall d (forall b ( IsCausedBy(d) ->  IsDiedPrematurely(b))))) -> (forall f (IsCausedBy(d) and IsDeaths(e) and IsWorldwide(f))),(exists b (exists c (IsDiedPrematurely(b) and IsFromPollution(c))) & (forall h (forall g ( IsCausedBy(g) ->  IsDiedPrematurely(h))))) -> (exists d (exists e (exists f (IsCausedBy(d) and IsDeaths(e) and IsWorldwide(f)))))
