,logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2,result
0,appeal to emotion,0,"Access to cleaner water has increased ; mortality from ‘ Extreme Weather Events ’ has declined by 99 per cent since the 1920s ; fewer people are dying from heat ; death rates from climate-sensitive diseases like malaria and diarrhoea have decreased ( since 1900 malaria death rates have declined 96 per cent ) ; hunger rates have declined ; poverty has declined ( GDP per capita has quadrupled since 1950 even as CO2 levels have sextupled ) ; life expectancy has more than doubled since the start of industrialisation ; health adjusted life expectancy has increased ; global inequality has decreased in terms of incomes , life expectancies and access to modern-day amenities ; the earth is green and more productive ; habitat lost to agriculture has peaked due to fossil fuel dependent technologies ."," Mortality from 'Extreme Weather Events' has declined by 99 percent since the 1920s; fewer people are dying from heat; death rates from climate-sensitive diseases like malaria and diarrhoea have decreased; hunger rates have declined; poverty has declined; life expectancy has more than doubled since the start of industrialisation; health adjusted life expectancy has increased; global inequality has decreased in terms of incomes, life expectancies and access to modern-day amenities; the earth is green and more productive; habitat lost to agriculture has peaked due to fossil fuel dependent technologies.", Access to cleaner water and fossil fuel dependent technologies have improved global living conditions.,"Declined(b),  AreDyingFromHeat(c),  Decreased(e,f),  Declined(g),  Declined(h),  DoubledSince(i,j),  Increased(k),  DecreasedInTermsOf(l,m,n,o),  IsGreen(p),  IsMoreProductive(p),  LostTo(q,r),  PeakedDueTo(q,a)",Improved(t),"[('Declined(b)', 'Improved(t)'), ('Improved(t)', 'Declined(b)'), ('  AreDyingFromHeat(c)', 'Improved(t)'), ('Improved(t)', '  AreDyingFromHeat(c)'), ('  Decreased(e,f)', 'Improved(t)'), ('Improved(t)', '  Decreased(e,f)'), ('  Declined(g)', 'Improved(t)'), ('Improved(t)', '  Declined(g)'), ('  Declined(h)', 'Improved(t)'), ('Improved(t)', '  Declined(h)'), ('Improved(t)', '  DoubledSince(i,j)'), ('  Increased(k)', 'Improved(t)'), ('Improved(t)', '  Increased(k)'), ('  DecreasedInTermsOf(l,m,n,o)', 'Improved(t)'), ('Improved(t)', '  DecreasedInTermsOf(l,m,n,o)'), ('  IsGreen(p)', 'Improved(t)'), ('  PeakedDueTo(q,a)', 'Improved(t)')]","[(' fossil fuel dependent technologies.', ' fossil fuel dependent technologies')]","[(' poverty', ' global living conditions'), (' global inequality', ' global living conditions'), (' life expectancies', ' global living conditions')]","Declined(b) and ~AreDyingFromHeat(c) and (Decreased(e,f) and Declined(g) and Declined(h) and DoubledSince(i,j) and Increased(k) and DecreasedInTermsOf(l,m,n,o) and IsGreen(p) and IsMoreProductive(p) and (LostTo(q,r) and PeakedDueTo(q,a)))",Improved(t),"(exists n (exists l (exists h (Declined(b) and ~AreDyingFromHeat(c) and (Decreased(e,f) and Declined(g) and Declined(h) and DoubledSince(i,j) and Increased(k) and DecreasedInTermsOf(l,m,n,o) and IsGreen(p) and IsMoreProductive(p) and (LostTo(q,r) and PeakedDueTo(q,a)))))) & (forall b (forall t (Declined(b) -> Improved(t)))) & (forall b (forall t (Improved(t) -> Declined(b)))) & (forall t (forall c (  AreDyingFromHeat(c) -> Improved(t)))) & (forall t (forall c (Improved(t) ->   AreDyingFromHeat(c)))) & (forall f (forall t (forall e (  Decreased(e,f) -> Improved(t))))) & (forall f (forall t (forall e (Improved(t) ->   Decreased(e,f))))) & (forall g (forall t (  Declined(g) -> Improved(t)))) & (forall g (forall t (Improved(t) ->   Declined(g)))) & (forall t (forall h (  Declined(h) -> Improved(t)))) & (forall t (forall h (Improved(t) ->   Declined(h)))) & (forall j (forall t (forall i (Improved(t) ->   DoubledSince(i,j))))) & (forall t (forall k (  Increased(k) -> Improved(t)))) & (forall t (forall k (Improved(t) ->   Increased(k)))) & (forall o (forall n (forall m (forall t (forall l (  DecreasedInTermsOf(l,m,n,o) -> Improved(t))))))) & (forall o (forall n (forall t (forall m (forall l (Improved(t) ->   DecreasedInTermsOf(l,m,n,o))))))) & (forall p (forall t (  IsGreen(p) -> Improved(t)))) & (forall a (forall t (forall q (  PeakedDueTo(q,a) -> Improved(t)))))) -> (forall t (Improved(t)))","(exists a (exists c (exists q (exists o (exists f (exists n (exists e (exists h (exists i (exists r (exists j (exists g (exists b (exists p (exists m (exists l (exists k (Declined(b) and ~AreDyingFromHeat(c) and (Decreased(e,f) and Declined(g) and Declined(h) and DoubledSince(i,j) and Increased(k) and DecreasedInTermsOf(l,m,n,o) and IsGreen(p) and IsMoreProductive(p) and (LostTo(q,r) and PeakedDueTo(q,a)))))))))))))))))))) & (forall v (forall w (Declined(v) -> Improved(w)))) & (forall y (forall x (Improved(x) -> Declined(y)))) & (forall z (  AreDyingFromHeat(z) -> Improved({))) & (Improved(|) ->   AreDyingFromHeat(})) & (  Decreased(~,) -> Improved()) & (Improved() ->   Decreased(,)) & (  Declined() -> Improved()) & (Improved() ->   Declined()) & (  Declined() -> Improved()) & (Improved() ->   Declined()) & (Improved() ->   DoubledSince(,)) & (  Increased() -> Improved()) & (Improved() ->   Increased()) & (  DecreasedInTermsOf(,,,) -> Improved()) & (Improved() ->   DecreasedInTermsOf(,,,)) & (  IsGreen() -> Improved()) & (  PeakedDueTo(, ) -> Improved(¡))) -> (exists t (Improved(t)))",0
1,ad hominem,0,"In its 2015 human-rights report on the island nation , the U.S. State Department said that significant problems include “ chronic government corruption , and chronic domestic violence , ” along with “ child abuse , sex trafficking , and lack of legal provisions protecting worker ’ s rights. ”"," The island nation has significant problems including chronic government corruption, chronic domestic violence, child abuse, sex trafficking, and lack of legal provisions protecting workers' rights.  ", The island nation has human rights issues.,"HasSignificantProblems(a),  HasGovernmentCorruption(a),  HasDomesticViolence(a),  HasChildAbuse(a),  HasSexTrafficking(a),  LacksLegalProvisionsProtectingWorkersRights(a)",HasHumanRightsIssues(a),"[('HasSignificantProblems(a)', 'HasHumanRightsIssues(a)'), ('HasHumanRightsIssues(a)', 'HasSignificantProblems(a)'), ('  HasGovernmentCorruption(a)', 'HasHumanRightsIssues(a)'), ('HasHumanRightsIssues(a)', '  HasGovernmentCorruption(a)'), ('  HasDomesticViolence(a)', 'HasHumanRightsIssues(a)'), ('HasHumanRightsIssues(a)', '  HasDomesticViolence(a)'), ('  HasChildAbuse(a)', 'HasHumanRightsIssues(a)'), ('HasHumanRightsIssues(a)', '  HasChildAbuse(a)'), ('  HasSexTrafficking(a)', 'HasHumanRightsIssues(a)'), ('HasHumanRightsIssues(a)', '  HasSexTrafficking(a)'), ('  LacksLegalProvisionsProtectingWorkersRights(a)', 'HasHumanRightsIssues(a)'), ('HasHumanRightsIssues(a)', '  LacksLegalProvisionsProtectingWorkersRights(a)')]","[(' The island nation', ' The island nation')]","[(' domestic violence', ' human rights issues'), (' child abuse', ' human rights issues'), (' sex trafficking', ' human rights issues'), ("" workers' rights."", ' human rights issues')]",HasSignificantProblems(a) and HasGovernmentCorruption(a) and HasDomesticViolence(a) and HasChildAbuse(a) and HasSexTrafficking(a) and LacksLegalProvisionsProtectingWorkersRights(a),HasHumanRightsIssues(a),(HasSignificantProblems(a) and HasGovernmentCorruption(a) and HasDomesticViolence(a) and HasChildAbuse(a) and HasSexTrafficking(a) and LacksLegalProvisionsProtectingWorkersRights(a) & (forall a (HasSignificantProblems(a) -> HasHumanRightsIssues(a))) & (forall a (HasHumanRightsIssues(a) -> HasSignificantProblems(a))) & (forall a (  HasGovernmentCorruption(a) -> HasHumanRightsIssues(a))) & (forall a (HasHumanRightsIssues(a) ->   HasGovernmentCorruption(a))) & (forall a (  HasDomesticViolence(a) -> HasHumanRightsIssues(a))) & (forall a (HasHumanRightsIssues(a) ->   HasDomesticViolence(a))) & (forall a (  HasChildAbuse(a) -> HasHumanRightsIssues(a))) & (forall a (HasHumanRightsIssues(a) ->   HasChildAbuse(a))) & (forall a (  HasSexTrafficking(a) -> HasHumanRightsIssues(a))) & (forall a (HasHumanRightsIssues(a) ->   HasSexTrafficking(a))) & (forall a (  LacksLegalProvisionsProtectingWorkersRights(a) -> HasHumanRightsIssues(a))) & (forall a (HasHumanRightsIssues(a) ->   LacksLegalProvisionsProtectingWorkersRights(a)))) -> (HasHumanRightsIssues(a)),(exists a (HasSignificantProblems(a) and HasGovernmentCorruption(a) and HasDomesticViolence(a) and HasChildAbuse(a) and HasSexTrafficking(a) and LacksLegalProvisionsProtectingWorkersRights(a)) & (forall i (HasSignificantProblems(i) -> HasHumanRightsIssues(i))) & (forall j (HasHumanRightsIssues(j) -> HasSignificantProblems(j))) & (forall k (  HasGovernmentCorruption(k) -> HasHumanRightsIssues(k))) & (forall l (HasHumanRightsIssues(l) ->   HasGovernmentCorruption(l))) & (forall m (  HasDomesticViolence(m) -> HasHumanRightsIssues(m))) & (forall n (HasHumanRightsIssues(n) ->   HasDomesticViolence(n))) & (forall o (  HasChildAbuse(o) -> HasHumanRightsIssues(o))) & (forall p (HasHumanRightsIssues(p) ->   HasChildAbuse(p))) & (forall q (  HasSexTrafficking(q) -> HasHumanRightsIssues(q))) & (forall r (HasHumanRightsIssues(r) ->   HasSexTrafficking(r))) & (forall s (  LacksLegalProvisionsProtectingWorkersRights(s) -> HasHumanRightsIssues(s))) & (forall t (HasHumanRightsIssues(t) ->   LacksLegalProvisionsProtectingWorkersRights(t)))) -> (exists a (HasHumanRightsIssues(a))),1
2,faulty generalization,0,"Sea levels are projected to rise by more than 3 feet by the end of the century , wiping away beaches and coastal properties .", Sea levels are projected to rise by more than 3 feet by the end of the century.  , Beaches and coastal properties will be wiped away.,"AreProjectedToRise(a),  IsEndOf(b)","IsWipedAway(c),  IsWipedAway(d)",[],[],[],AreProjectedToRise(a) and IsEndOf(b),IsWipedAway(c) and IsWipedAway(d),(AreProjectedToRise(a) and IsEndOf(b)) -> (IsWipedAway(c) and IsWipedAway(d)),(exists a (exists b (AreProjectedToRise(a) and IsEndOf(b)))) -> (exists d (exists c (IsWipedAway(c) and IsWipedAway(d)))),0
3,faulty generalization,0,"As we 've noted in this space , the idea of `` settled science '' peddled by environmentalists and politicians defies the history of science , which has seen repeated upheavals of previous forms of `` settled science . ''"," Environmentalists and politicians promote the idea of ""settled science."""," The history of science shows repeated upheavals of previous forms of ""settled science.""","Promotes(a, c),  Promotes(b, c),  IsSettledScience(d)","ShowsRepeatedUpheavals(e, f),  IsPreviousFormOfSettledScience(f)",[],[],[],"Promotes(a, c) and Promotes(b, c) and IsSettledScience(d)","ShowsRepeatedUpheavals(e, f) and IsPreviousFormOfSettledScience(f)","(Promotes(a, c) and Promotes(b, c) and IsSettledScience(d)) -> (ShowsRepeatedUpheavals(e, f) and IsPreviousFormOfSettledScience(f))","(exists a (exists b (exists d (exists c (Promotes(a, c) and Promotes(b, c) and IsSettledScience(d)))))) -> (exists f (exists e (ShowsRepeatedUpheavals(e, f) and IsPreviousFormOfSettledScience(f))))",0
4,appeal to emotion,0,"`` When scientists say bears are going extinct , I want people to realize what it looks like . Bears are going to starve to death , '' said Nicklen . ``", Bears are going extinct and bears are going to starve to death.  , People should realize what bear extinction looks like.,"IsGoingExtinct(a),  IsGoingToStarveToDeath(a)","ShouldRealize(b),  IsBearExtinction(c)","[('ShouldRealize(b)', 'IsGoingExtinct(a)'), ('IsGoingExtinct(a)', '  IsBearExtinction(c)'), ('  IsBearExtinction(c)', 'IsGoingExtinct(a)'), ('ShouldRealize(b)', '  IsGoingToStarveToDeath(a)')]",[],[],IsGoingExtinct(a) and IsGoingToStarveToDeath(a),ShouldRealize(b) and IsBearExtinction(c),(IsGoingExtinct(a) and IsGoingToStarveToDeath(a) & (forall a (forall b (ShouldRealize(b) -> IsGoingExtinct(a)))) & (forall a (forall c (IsGoingExtinct(a) ->   IsBearExtinction(c)))) & (forall a (forall c (  IsBearExtinction(c) -> IsGoingExtinct(a)))) & (forall a (forall b (ShouldRealize(b) ->   IsGoingToStarveToDeath(a))))) -> (ShouldRealize(b) and IsBearExtinction(c)),(exists a (IsGoingExtinct(a) and IsGoingToStarveToDeath(a)) & (forall d (forall e (ShouldRealize(d) -> IsGoingExtinct(e)))) & (forall g (forall f (IsGoingExtinct(f) ->   IsBearExtinction(g)))) & (forall h (forall i (  IsBearExtinction(h) -> IsGoingExtinct(i)))) & (forall j (forall k (ShouldRealize(j) ->   IsGoingToStarveToDeath(k))))) -> (exists b (exists c (ShouldRealize(b) and IsBearExtinction(c)))),1
5,equivocation,0,"No one and nothing would experience it directly since we all live in regions , not the globe ."," We all live in regions, not the globe.  ", No one and nothing experiences the globe directly.,"LiveIn(b, c)","Experiences(d, a),  Experiences(e, a)",[],"[(' the globe', ' globe')]","[(' regions', ' the globe')]","LiveIn(b, c) and ~LiveIn(b, a)","(~Experiences(d, a)) and (~Experiences(e, a))","(exists c (LiveIn(b, c) and ~LiveIn(b, a))) -> (forall a ((~Experiences(d, a)) and (~Experiences(e, a))))","(exists a (exists b (exists c (LiveIn(b, c) and ~LiveIn(b, a))))) -> (exists d (exists a (exists e ((~Experiences(d, a)) and (~Experiences(e, a))))))",0
6,intentional,0,"By 2070 , that could be about a third of the overall global population at that time ."," By 2070, about a third of the overall global population could be affected.  ", A large portion of the global population will be affected by 2070.,IsAffected(a),IsAffected(a),[],"[(' A large portion of the global population', ' Overall global population')]",[],IsAffected(a),IsAffected(a),(IsAffected(a)) -> (IsAffected(a)),(exists a (IsAffected(a))) -> (exists a (IsAffected(a))),1
7,fallacy of logic,0,"Dirty water , dirty air
and insect-borne diseases are a far greater problem today for most people world-wide . Habitat loss and human predation are a far greater problem for most animals . Elephants
won ’ t make it to see a warmer climate ."," ""Dirty water, dirty air, and insect-borne diseases are a far greater problem today for most people worldwide. Habitat loss and human predation are a far greater problem for most animals. Elephants won’t make it to see a warmer climate."""," ""Environmental issues are a more immediate concern than climate change for people and animals.""","IsDirty(a),  IsDirty(b),  IsInsectBorne(c),  IsGreaterProblemTodayFor(c,d),  IsGreaterProblemTodayFor(e,g),  IsGreaterProblemTodayFor(f,g),  WontMakeIt(h,i)","AreImmediateConcern(j,l),  AreImmediateConcern(j,m)","[('  AreImmediateConcern(j,m)', '  IsGreaterProblemTodayFor(e,g)')]",[],"[(' Dirty water', ' Environmental issues'), (' dirty air', ' Environmental issues'), (' insect-borne diseases', ' Environmental issues'), (' most people worldwide', ' people'), (' most people worldwide', ' animals'), (' habitat loss', ' Environmental issues'), (' human predation', ' Environmental issues'), (' most animals', ' animals'), (' elephants', ' animals')]","(IsDirty(a) and IsDirty(b) and IsInsectBorne(c) and IsGreaterProblemTodayFor(c,d)) and (IsGreaterProblemTodayFor(e,g) and IsGreaterProblemTodayFor(f,g)) and WontMakeIt(h,i)","AreImmediateConcern(j,l) and AreImmediateConcern(j,m)","(exists h (exists g (exists f (exists e (exists d (exists c (exists b (exists a ((IsDirty(a) and IsDirty(b) and IsInsectBorne(c) and IsGreaterProblemTodayFor(c,d)) and (IsGreaterProblemTodayFor(e,g) and IsGreaterProblemTodayFor(f,g)) and WontMakeIt(h,i))))))))) & (forall g (forall j (forall m (forall e (  AreImmediateConcern(j,m) ->   IsGreaterProblemTodayFor(e,g))))))) -> (forall m (forall l (forall j (AreImmediateConcern(j,l) and AreImmediateConcern(j,m)))))","(exists c (exists f (exists e (exists h (exists i (exists a (exists d (exists g (exists b ((IsDirty(a) and IsDirty(b) and IsInsectBorne(c) and IsGreaterProblemTodayFor(c,d)) and (IsGreaterProblemTodayFor(e,g) and IsGreaterProblemTodayFor(f,g)) and WontMakeIt(h,i)))))))))) & (forall q (forall o (forall p (forall n (  AreImmediateConcern(n,o) ->   IsGreaterProblemTodayFor(p,q))))))) -> (exists j (exists m (exists l (AreImmediateConcern(j,l) and AreImmediateConcern(j,m)))))",0
8,fallacy of extension,0,"The problem with the proponents of man-made climate change theories isn ’ t that they might be wrong . The real issue is the arrogance and zealotry found in people who see science not as an ongoing process , but as a religion .", Proponents of man-made climate change theories are arrogant and zealous.  , Science is seen as a religion by some people.,"IsArrogant(a),  IsZealous(a)","IsSeenAs(b, c),  SeenBy(a, b)",[],"[(' some people', ' Proponents of man-made climate change theories')]","[(' Proponents of man-made climate change theories', ' Science')]",IsArrogant(a) and IsZealous(a),"IsSeenAs(b, c) and SeenBy(a, b)","(exists a (IsArrogant(a) and IsZealous(a))) -> (forall b (IsSeenAs(b, c) and SeenBy(a, b)))","(exists a (IsArrogant(a) and IsZealous(a))) -> (exists a (exists b (exists c (IsSeenAs(b, c) and SeenBy(a, b)))))",0
9,ad populum,0,"A recent study found that 9 million people died prematurely from pollution-related diseases in 2015 , accounting for 16 % of all deaths worldwide .", 9 million people died prematurely from pollution-related diseases in 2015.  , Pollution is a significant cause of death worldwide.,"HasPollutionRelatedDiseases(a),  DiedPrematurely(a),  OccurredIn(c)","IsSignificantCauseOf(d, e),  IsWorldwide(f)","[('HasPollutionRelatedDiseases(a)', 'IsSignificantCauseOf(d, e)'), ('  DiedPrematurely(a)', 'IsSignificantCauseOf(d, e)'), ('IsSignificantCauseOf(d, e)', '  DiedPrematurely(a)')]",[],"[(' pollution-related diseases', ' Pollution'), (' pollution-related diseases', ' death')]",HasPollutionRelatedDiseases(a) and DiedPrematurely(a) and OccurredIn(c),"IsSignificantCauseOf(d, e) and IsWorldwide(f)","(HasPollutionRelatedDiseases(a) and DiedPrematurely(a) and OccurredIn(c) & (forall a (forall e (forall d (HasPollutionRelatedDiseases(a) -> IsSignificantCauseOf(d, e))))) & (forall a (forall e (forall d (  DiedPrematurely(a) -> IsSignificantCauseOf(d, e))))) & (forall d (forall a (forall e (IsSignificantCauseOf(d, e) ->   DiedPrematurely(a)))))) -> (IsSignificantCauseOf(d, e) and IsWorldwide(f))","(exists a (exists c (HasPollutionRelatedDiseases(a) and DiedPrematurely(a) and OccurredIn(c))) & (forall g (forall h (forall i (HasPollutionRelatedDiseases(g) -> IsSignificantCauseOf(h,i))))) & (forall j (forall l (forall k (  DiedPrematurely(j) -> IsSignificantCauseOf(k,l))))) & (forall o (forall m (forall n (IsSignificantCauseOf(m,n) ->   DiedPrematurely(o)))))) -> (exists d (exists f (exists e (IsSignificantCauseOf(d, e) and IsWorldwide(f)))))",0
