label,updated_label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
0,false causality,"Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so give your money!", Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven.  , You should give your money to the Church.,"IsGiven(b,a),  IsInLimbo(c),  IsInHeaven(c)","IsGiven(f, a)",[],"[(' the Church', ' the Church')]","[(' Your income', ' Your money')]","(IsGiven(b,a) and IsInLimbo(c)) and IsInHeaven(c)","IsGiven(f, a)","(exists b ((IsGiven(b,a) and IsInLimbo(c)) and IsInHeaven(c))) -> (forall f (IsGiven(f, a)))","(exists c (exists a (exists b ((IsGiven(b,a) and IsInLimbo(c)) and IsInHeaven(c))))) -> (exists f (exists a (IsGiven(f, a))))"
0,appeal to emotion,"If everyone lived his or her life exactly like Jesus lived his life, the world would be a beautiful place!", Jesus lived a beautiful life.  , Everyone should live like Jesus.,"LivedLife(a),  IsBeautiful(b)","ShouldLiveLike(c, a)",[],"[(' Jesus', ' Jesus')]",[],LivedLife(a) and IsBeautiful(b),"ShouldLiveLike(c, a)","(LivedLife(a) and IsBeautiful(b)) -> (ShouldLiveLike(c, a))","(exists a (exists b (LivedLife(a) and IsBeautiful(b)))) -> (exists c (exists a (ShouldLiveLike(c, a))))"
0,appeal to emotion,"I know you don’t like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo.", Grandma knitted the kitty-cat sweater for you.  , You should wear the kitty-cat sweater in the family holiday photo.,"Knitted(c, a),  For(a, b)","Wear(b, a),  In(a, d)","[('Knitted(c, a)', 'Wear(b, a)')]","[(' kitty-cat sweater', ' kitty-cat sweater'), (' you', ' You')]",[],"Knitted(c, a) and For(a, b)","Wear(b, a) and In(a, d)","(Knitted(c, a) and For(a, b) & (forall c (forall a (forall b (Knitted(c, a) -> Wear(b, a)))))) -> (Wear(b, a) and In(a, d))","(exists c (exists a (exists b (Knitted(c, a) and For(a, b)))) & (forall f (forall h (forall g (Knitted(f,g) -> Wear(h,g)))))) -> (exists a (exists d (exists b (Wear(b, a) and In(a, d)))))"
0,ad populum,"Dave wants you to break into the spooky cabin with him. “Everyone does it,” he claims. What fallacy has he committed?", Everyone breaks into the spooky cabin.  , You should break into the spooky cabin.,"BreaksInto(b, a),  IsSpooky(a)","BreakInto(c, a),  IsSpooky(a)",[],"[(' the spooky cabin', ' spooky cabin')]","[(' Everyone', ' You')]","Everyone(b) and IsSpooky(a) and BreaksInto(b, a)","IsSpooky(a) and BreakInto(c, a)","(exists b (Everyone(b) and IsSpooky(a) and BreaksInto(b, a))) -> (forall c (IsSpooky(a) and BreakInto(c, a)))","(exists a (exists b (Everyone(b) and IsSpooky(a) and BreaksInto(b, a)))) -> (exists c (exists a (IsSpooky(a) and BreakInto(c, a))))"
0,fallacy of credibility,"Ms. Drayer, the smartest person in the universe, says the debate is the best class, therefore it is."," ""Ms. Drayer is the smartest person in the universe and says the debate is the best class."""," ""The debate is the best class.""","IsSmartestPersonInUniverse(b),  Says(b, d),  IsBestClass(d)",IsBestClass(e),[],"[(' class', ' class')]",[],"IsSmartestPersonInUniverse(b) and Says(b, d) and IsBestClass(d)",IsBestClass(e),"(IsSmartestPersonInUniverse(b) and Says(b, d) and IsBestClass(d)) -> (IsBestClass(e))","(exists d (exists b (IsSmartestPersonInUniverse(b) and Says(b, d) and IsBestClass(d)))) -> (exists e (IsBestClass(e)))"
0,faulty generalization,Why did the blond cross the road?  Because she saw a shoe sale!, The blonde crossed the road to attend a shoe sale.  , Blondes are easily attracted by shoe sales.,"CrossedRoad(a),  AttendingShoeSale(a)","IsBlonde(d),  IsAttractedByShoeSales(d)",[],[],"[(' The blonde', ' Blondes'), (' a shoe sale', ' shoe sales')]",CrossedRoad(a) and AttendingShoeSale(a),IsBlonde(d) and IsAttractedByShoeSales(d),(exists a (CrossedRoad(a) and AttendingShoeSale(a))) -> (forall d (IsBlonde(d) and IsAttractedByShoeSales(d))),(exists a (CrossedRoad(a) and AttendingShoeSale(a))) -> (exists d (IsBlonde(d) and IsAttractedByShoeSales(d)))
0,appeal to emotion,"Timmy: Mom, what if I don’t believe in God?
Mom: Then you burn in Hell forever.  Why do you ask?
Timmy: No reason.
", Timmy will burn in Hell forever if Timmy doesn't believe in God.  , Timmy must believe in God.,"WillBurnInHell(a),  DoesNotBelieveInGod(a)",MustBelieveInGod(a),[],"[(' Timmy', ' Timmy'), (' God', ' God')]",[],DoesNotBelieveInGod(a) and WillBurnInHell(a),MustBelieveInGod(a),(DoesNotBelieveInGod(a) and WillBurnInHell(a)) -> (MustBelieveInGod(a)),(exists a (DoesNotBelieveInGod(a) and WillBurnInHell(a))) -> (exists a (MustBelieveInGod(a)))
0,false dilemma,"""If you never gave money to charity, then you must be a greedy millionaire."" What is this?"," ""You never gave money to charity.""  "," ""You are a greedy millionaire.""  ","Gave(a, b, c)",IsGreedyMillionaire(a),[],"[(' You', ' You')]",[],"~Gave(a, b, c)",IsGreedyMillionaire(a),"(~Gave(a, b, c)) -> (IsGreedyMillionaire(a))","(exists c (exists a (exists b (~Gave(a, b, c))))) -> (exists a (IsGreedyMillionaire(a)))"
0,fallacy of extension,Caroline says that she is going to have lunch with the new girl. Jenna says that she can't believe that Caroline is ditching her old friends for the new girl., Caroline is going to have lunch with the new girl. , Caroline is ditching Caroline's old friends for the new girl.,"IsGoingToHaveLunchWith(a, b)","IsDitchingFor(a, d, b)",[],"[(' Caroline', ' Caroline'), (' the new girl', ' the new girl')]",[],"IsGoingToHaveLunchWith(a, b)","IsDitchingFor(a, d, b)","(IsGoingToHaveLunchWith(a, b)) -> (IsDitchingFor(a, d, b))","(exists a (exists b (IsGoingToHaveLunchWith(a, b)))) -> (exists a (exists d (exists b (IsDitchingFor(a, d, b)))))"
0,faulty generalization,"""You can never give anyone a break. If you do, they'll walk all over you."""," ""If you give anyone a break, they'll walk all over you.""  "," ""You can never give anyone a break.""","IsGivenBreakBy(a,b),  WalksAllOver(b,a)","IsGivenBreakBy(a, a)",[],"[(' You', ' You'), (' You', ' anyone'), (' anyone', ' anyone')]",[],"IsGivenBreakBy(a,b) and WalksAllOver(b,a)","~IsGivenBreakBy(a, a)","(IsGivenBreakBy(a,b) and WalksAllOver(b,a)) -> (~IsGivenBreakBy(a, a))","(exists a (exists b (IsGivenBreakBy(a,b) and WalksAllOver(b,a)))) -> (exists a (~IsGivenBreakBy(a, a)))"
