,logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2,result
0,appeal to emotion,0,"Access to cleaner water has increased ; mortality from ‘ Extreme Weather Events ’ has declined by 99 per cent since the 1920s ; fewer people are dying from heat ; death rates from climate-sensitive diseases like malaria and diarrhoea have decreased ( since 1900 malaria death rates have declined 96 per cent ) ; hunger rates have declined ; poverty has declined ( GDP per capita has quadrupled since 1950 even as CO2 levels have sextupled ) ; life expectancy has more than doubled since the start of industrialisation ; health adjusted life expectancy has increased ; global inequality has decreased in terms of incomes , life expectancies and access to modern-day amenities ; the earth is green and more productive ; habitat lost to agriculture has peaked due to fossil fuel dependent technologies ."," Access to cleaner water has increased. Mortality from extreme weather events has declined by 99 per cent since the 1920s. Fewer people are dying from heat. Death rates from climate-sensitive diseases like malaria and diarrhoea have decreased. Since 1900 malaria death rates have declined 96 per cent. Hunger rates have declined. Poverty has declined. GDP per capita has quadrupled since 1950 even as CO2 levels have sextupled. Life expectancy has more than doubled since the start of industrialisation. Health adjusted life expectancy has increased. Global inequality has decreased in terms of incomes, life expectancies and access to modern-day amenities. The earth is green and more productive. Habitat lost to agriculture has peaked due to fossil fuel dependent technologies.", Human prosperity has increased despite environmental challenges.,"IsIncreased(b),  HasDeclinedBy99Percent(c),  IsExtremeWeatherEvent(d),  AreDyingFrom(e, f),  AreClimateSensitive(h),  HaveDecreased(g, h),  HaveDeclinedBy96Percent(k),  HaveDeclined(l),  HasDeclined(m),  HasQuadrupledSince1950(n),  HaveSextupled(o),  HasMoreThanDoubledSince(p, q),  HasIncreased(r),  HasDecreasedInTermsOfIncomes(s),  HasDecreasedInTermsOfLifeExpectancies(s),  HasDecreasedInTermsOfAccessToModernDayAmenities(s),  IsGreen(v),  IsMoreProductive(v),  HasPeaked(w, x, y)",IsIncreased(a),"[('  HasDecreasedInTermsOfIncomes(s)', 'IsIncreased(a)'), ('IsIncreased(a)', '  HasDecreasedInTermsOfLifeExpectancies(s)')]","[(' Human prosperity', ' access to modern-day amenities')]","[(' Access to cleaner water', ' Human prosperity'), (' extreme weather events', ' environmental challenges'), (' heat', ' environmental challenges'), (' climate-sensitive diseases', ' environmental challenges'), (' GDP per capita', ' Human prosperity'), (' CO2 levels', ' environmental challenges'), (' life expectancy', ' Human prosperity'), (' incomes', ' Human prosperity')]","IsIncreased(b) and HasDeclinedBy99Percent(c) and IsExtremeWeatherEvent(d) and ~AreDyingFrom(e, f) and HaveDecreased(g, h) and HaveDeclinedBy96Percent(k) and HaveDeclined(l) and HasDeclined(m) and HasQuadrupledSince1950(n) and HaveSextupled(o) and HasMoreThanDoubledSince(p, q) and HasIncreased(r) and HasDecreasedInTermsOfIncomes(s) and HasDecreasedInTermsOfLifeExpectancies(s) and HasDecreasedInTermsOfAccessToModernDayAmenities(s) and IsGreen(v) and IsMoreProductive(v) and HasPeaked(w, x, y)",IsIncreased(a),"(exists p (exists n (exists b (IsIncreased(b) and HasDeclinedBy99Percent(c) and IsExtremeWeatherEvent(d) and ~AreDyingFrom(e, f) and HaveDecreased(g, h) and HaveDeclinedBy96Percent(k) and HaveDeclined(l) and HasDeclined(m) and HasQuadrupledSince1950(n) and HaveSextupled(o) and HasMoreThanDoubledSince(p, q) and HasIncreased(r) and HasDecreasedInTermsOfIncomes(s) and HasDecreasedInTermsOfLifeExpectancies(s) and HasDecreasedInTermsOfAccessToModernDayAmenities(s) and IsGreen(v) and IsMoreProductive(v) and HasPeaked(w, x, y)))) & (forall s (forall a (  HasDecreasedInTermsOfIncomes(s) -> IsIncreased(a)))) & (forall s (forall a (IsIncreased(a) ->   HasDecreasedInTermsOfLifeExpectancies(s))))) -> (forall a (IsIncreased(a)))","(exists k (exists h (exists g (exists o (exists x (exists v (exists w (exists y (exists c (exists m (exists r (exists e (exists n (exists s (exists l (exists q (exists f (exists d (exists p (exists b (IsIncreased(b) and HasDeclinedBy99Percent(c) and IsExtremeWeatherEvent(d) and ~AreDyingFrom(e, f) and HaveDecreased(g, h) and HaveDeclinedBy96Percent(k) and HaveDeclined(l) and HasDeclined(m) and HasQuadrupledSince1950(n) and HaveSextupled(o) and HasMoreThanDoubledSince(p, q) and HasIncreased(r) and HasDecreasedInTermsOfIncomes(s) and HasDecreasedInTermsOfLifeExpectancies(s) and HasDecreasedInTermsOfAccessToModernDayAmenities(s) and IsGreen(v) and IsMoreProductive(v) and HasPeaked(w, x, y))))))))))))))))))))) & (  HasDecreasedInTermsOfIncomes(|) -> IsIncreased(})) & (IsIncreased(~) ->   HasDecreasedInTermsOfLifeExpectancies())) -> (exists a (IsIncreased(a)))",
1,ad hominem,0,"In its 2015 human-rights report on the island nation , the U.S. State Department said that significant problems include “ chronic government corruption , and chronic domestic violence , ” along with “ child abuse , sex trafficking , and lack of legal provisions protecting worker ’ s rights. ”"," The U.S. State Department reported significant problems in the island nation, including chronic government corruption, chronic domestic violence, child abuse, sex trafficking, and lack of legal provisions protecting workers' rights.", The island nation has serious human-rights issues.,"ReportedProblems(a, b),  IsChronic(c),  IsChronic(d),  IsPresent(e),  IsPresent(f),  Lacks(g, h)","HasSeriousIssues(i, j)","[('ReportedProblems(a, b)', 'HasSeriousIssues(i, j)'), ('HasSeriousIssues(i, j)', 'ReportedProblems(a, b)'), ('  IsChronic(c)', 'HasSeriousIssues(i, j)'), ('HasSeriousIssues(i, j)', '  IsChronic(c)'), ('  IsChronic(d)', 'HasSeriousIssues(i, j)'), ('HasSeriousIssues(i, j)', '  IsChronic(d)'), ('  IsPresent(e)', 'HasSeriousIssues(i, j)'), ('HasSeriousIssues(i, j)', '  IsPresent(e)'), ('  IsPresent(f)', 'HasSeriousIssues(i, j)'), ('HasSeriousIssues(i, j)', '  IsPresent(f)'), ('  Lacks(g, h)', 'HasSeriousIssues(i, j)'), ('HasSeriousIssues(i, j)', '  Lacks(g, h)')]",[],"[(' domestic violence', ' human-rights issues'), (' child abuse', ' human-rights issues'), (' sex trafficking', ' human-rights issues'), ("" workers' rights."", ' human-rights issues')]","ReportedProblems(a, b) and IsChronic(c) and IsChronic(d) and IsPresent(e) and IsPresent(f) and Lacks(g, h)","HasSeriousIssues(i, j)","(exists h (exists f (exists e (exists d (ReportedProblems(a, b) and IsChronic(c) and IsChronic(d) and IsPresent(e) and IsPresent(f) and Lacks(g, h))))) & (forall j (forall i (forall a (forall b (ReportedProblems(a, b) -> HasSeriousIssues(i, j)))))) & (forall j (forall i (forall a (forall b (HasSeriousIssues(i, j) -> ReportedProblems(a, b)))))) & (forall j (forall i (forall c (  IsChronic(c) -> HasSeriousIssues(i, j))))) & (forall j (forall i (forall c (HasSeriousIssues(i, j) ->   IsChronic(c))))) & (forall j (forall d (forall i (  IsChronic(d) -> HasSeriousIssues(i, j))))) & (forall j (forall i (forall d (HasSeriousIssues(i, j) ->   IsChronic(d))))) & (forall j (forall i (forall e (  IsPresent(e) -> HasSeriousIssues(i, j))))) & (forall j (forall i (forall e (HasSeriousIssues(i, j) ->   IsPresent(e))))) & (forall j (forall i (forall f (  IsPresent(f) -> HasSeriousIssues(i, j))))) & (forall j (forall i (forall f (HasSeriousIssues(i, j) ->   IsPresent(f))))) & (forall j (forall i (forall h (forall g (  Lacks(g, h) -> HasSeriousIssues(i, j)))))) & (forall j (forall i (forall h (forall g (HasSeriousIssues(i, j) ->   Lacks(g, h))))))) -> (forall j (HasSeriousIssues(i, j)))","(exists h (exists g (exists f (exists d (exists b (exists c (exists e (exists a (ReportedProblems(a, b) and IsChronic(c) and IsChronic(d) and IsPresent(e) and IsPresent(f) and Lacks(g, h))))))))) & (forall m (forall k (forall l (forall n (ReportedProblems(k,l) -> HasSeriousIssues(m,n)))))) & (forall o (forall r (forall p (forall q (HasSeriousIssues(o,p) -> ReportedProblems(q,r)))))) & (forall s (forall t (forall u (  IsChronic(s) -> HasSeriousIssues(t,u))))) & (forall x (forall v (forall w (HasSeriousIssues(v,w) ->   IsChronic(x))))) & (forall y (forall z (  IsChronic(y) -> HasSeriousIssues(z,{)))) & (HasSeriousIssues(|,}) ->   IsChronic(~)) & (  IsPresent() -> HasSeriousIssues(,)) & (HasSeriousIssues(,) ->   IsPresent()) & (  IsPresent() -> HasSeriousIssues(,)) & (HasSeriousIssues(,) ->   IsPresent()) & (  Lacks(,) -> HasSeriousIssues(,)) & (HasSeriousIssues(,) ->   Lacks(,))) -> (exists j (exists i (HasSeriousIssues(i, j))))",
2,faulty generalization,0,"Sea levels are projected to rise by more than 3 feet by the end of the century , wiping away beaches and coastal properties .", Sea levels are projected to rise by more than 3 feet by the end of the century., Beaches and coastal properties will be wiped away.,"AreProjectedToRise(a),  ByEndOfCentury(a, b)","IsWipedAway(c),  IsWipedAway(d)","[('AreProjectedToRise(a)', 'IsWipedAway(c)'), ('  ByEndOfCentury(a, b)', '  IsWipedAway(d)')]",[],[],"AreProjectedToRise(a) and ByEndOfCentury(a, b)",IsWipedAway(c) and IsWipedAway(d),"(AreProjectedToRise(a) and ByEndOfCentury(a, b) & (forall a (forall c (AreProjectedToRise(a) -> IsWipedAway(c)))) & (forall d (forall a (forall b (  ByEndOfCentury(a, b) ->   IsWipedAway(d)))))) -> (IsWipedAway(c) and IsWipedAway(d))","(exists a (exists b (AreProjectedToRise(a) and ByEndOfCentury(a, b))) & (forall e (forall f (AreProjectedToRise(e) -> IsWipedAway(f)))) & (forall i (forall h (forall g (  ByEndOfCentury(g,h) ->   IsWipedAway(i)))))) -> (exists d (exists c (IsWipedAway(c) and IsWipedAway(d))))",Valid
3,faulty generalization,0,"As we 've noted in this space , the idea of `` settled science '' peddled by environmentalists and politicians defies the history of science , which has seen repeated upheavals of previous forms of `` settled science . ''"," The idea of ""settled science"" defies the history of science, which has seen repeated upheavals of previous forms of ""settled science.""", Science is not settled.,"Defies(a, c),  IsOf(d, e),  IsOf(e, f)",IsNotSettled(g),[],[],"[(' settled science', ' Science'), (' the history of science', ' Science'), (' settled science.', ' Science')]","Defies(a, c) and IsOf(d, e) and IsOf(e, f)",IsNotSettled(g),"(exists f (exists c (Defies(a, c) and IsOf(d, e) and IsOf(e, f)))) -> (forall g (IsNotSettled(g)))","(exists f (exists d (exists c (exists e (exists a (Defies(a, c) and IsOf(d, e) and IsOf(e, f))))))) -> (exists g (IsNotSettled(g)))",LF
4,appeal to emotion,0,"`` When scientists say bears are going extinct , I want people to realize what it looks like . Bears are going to starve to death , '' said Nicklen . ``"," ""Scientists say bears are going extinct.""  "," ""Bears are going to starve to death.""","SaysGoingExtinct(b, a)",IsGoingToStarveToDeath(a),[],"[(' bears', ' Bears')]",[],"SaysGoingExtinct(b, a)",IsGoingToStarveToDeath(a),"(SaysGoingExtinct(b, a)) -> (IsGoingToStarveToDeath(a))","(exists a (exists b (SaysGoingExtinct(b, a)))) -> (exists a (IsGoingToStarveToDeath(a)))",LF
5,equivocation,0,"No one and nothing would experience it directly since we all live in regions , not the globe ."," We all live in regions, not the globe.  ", No one and nothing would experience the globe directly.,"LiveIn(b, c)","ExperienceDirectly(d, a),  ExperienceDirectly(e, a)",[],"[(' globe', ' globe')]","[(' regions', ' globe')]","LiveIn(b, c) and ~LiveIn(b, a)","~ExperienceDirectly(d, a) and ~ExperienceDirectly(e, a)","(exists c (LiveIn(b, c) and ~LiveIn(b, a))) -> (forall a (~ExperienceDirectly(d, a) and ~ExperienceDirectly(e, a)))","(exists a (exists b (exists c (LiveIn(b, c) and ~LiveIn(b, a))))) -> (exists e (exists d (exists a (~ExperienceDirectly(d, a) and ~ExperienceDirectly(e, a)))))",LF
6,intentional,0,"By 2070 , that could be about a third of the overall global population at that time ."," By 2070, about a third of the overall global population could be affected.", A significant portion of the global population will be affected by 2070.,IsAffected(a),"IsAffected(b),  IsPartOf(b, a)",[],"[(' Overall global population', ' global population')]",[],IsAffected(a),"IsPartOf(b, a) and IsAffected(b)","(IsAffected(a)) -> (IsPartOf(b, a) and IsAffected(b))","(exists a (IsAffected(a))) -> (exists a (exists b (IsPartOf(b, a) and IsAffected(b))))",LF
7,fallacy of logic,0,"Dirty water , dirty air
and insect-borne diseases are a far greater problem today for most people world-wide . Habitat loss and human predation are a far greater problem for most animals . Elephants
won ’ t make it to see a warmer climate ."," ""Dirty water, dirty air, and insect-borne diseases are a far greater problem today for most people worldwide. Habitat loss and human predation are a far greater problem for most animals. Elephants won't make it to see a warmer climate."""," ""Current environmental issues are more pressing than future climate change for people and animals.""","IsDirty(b),  IsDirty(c),  IsInsectBorne(d),  IsGreaterProblemFor(b, a),  IsGreaterProblemFor(c, a),  IsGreaterProblemFor(d, a),  IsHabitatLoss(e),  IsPredation(f),  IsGreaterProblemFor(e, a),  IsGreaterProblemFor(f, a),  Won'tSee(g, h)","ArePressing(i),  AreMorePressingThan(i, j),  ArePressingFor(i, k),  ArePressingFor(i, a)","[('IsDirty(b)', 'ArePressing(i)'), ('  ArePressingFor(i, k)', 'IsDirty(b)'), ('  IsDirty(c)', 'ArePressing(i)'), ('ArePressing(i)', '  IsDirty(c)'), ('  ArePressingFor(i, k)', '  IsDirty(c)'), ('  IsInsectBorne(d)', 'ArePressing(i)'), ('  ArePressingFor(i, k)', '  IsGreaterProblemFor(b, a)'), ('ArePressing(i)', '  IsGreaterProblemFor(c, a)'), ('  ArePressingFor(i, a)', '  IsGreaterProblemFor(c, a)'), ('  ArePressingFor(i, a)', '  IsGreaterProblemFor(d, a)'), ('ArePressing(i)', '  IsHabitatLoss(e)'), ('  IsPredation(f)', 'ArePressing(i)'), (""  Won'tSee(g, h)"", 'ArePressing(i)')]","[(' animals', ' most people worldwide'), (' animals', ' most animals')]","[(' Dirty water', ' Current environmental issues'), (' dirty air', ' Current environmental issues'), (' insect-borne diseases', ' Current environmental issues'), (' most people worldwide', ' people'), (' habitat loss', ' Current environmental issues'), (' human predation', ' Current environmental issues'), (' elephants', ' animals'), (' a warmer climate', ' future climate change')]","(IsDirty(b) and IsDirty(c) and IsInsectBorne(d) and IsGreaterProblemFor(b, a) and IsGreaterProblemFor(c, a) and IsGreaterProblemFor(d, a)) and (IsHabitatLoss(e) and IsPredation(f) and IsGreaterProblemFor(e, a) and IsGreaterProblemFor(f, a)) and Won'tSee(g, h)","ArePressing(i) and AreMorePressingThan(i, j) and ArePressingFor(i, k) and ArePressingFor(i, a)","(exists h (exists g (exists f (exists e (exists a (exists d (exists c (exists b ((IsDirty(b) and IsDirty(c) and IsInsectBorne(d) and IsGreaterProblemFor(b, a) and IsGreaterProblemFor(c, a) and IsGreaterProblemFor(d, a)) and (IsHabitatLoss(e) and IsPredation(f) and IsGreaterProblemFor(e, a) and IsGreaterProblemFor(f, a)) and Won'tSee(g, h))))))))) & (forall i (forall b (IsDirty(b) -> ArePressing(i)))) & (forall i (forall k (forall b (  ArePressingFor(i, k) -> IsDirty(b))))) & (forall i (forall c (  IsDirty(c) -> ArePressing(i)))) & (forall i (forall c (ArePressing(i) ->   IsDirty(c)))) & (forall i (forall k (forall c (  ArePressingFor(i, k) ->   IsDirty(c))))) & (forall d (forall i (  IsInsectBorne(d) -> ArePressing(i)))) & (forall a (forall i (forall k (forall b (  ArePressingFor(i, k) ->   IsGreaterProblemFor(b, a)))))) & (forall i (forall a (forall c (ArePressing(i) ->   IsGreaterProblemFor(c, a))))) & (forall i (forall a (forall c (  ArePressingFor(i, a) ->   IsGreaterProblemFor(c, a))))) & (forall d (forall i (forall a (  ArePressingFor(i, a) ->   IsGreaterProblemFor(d, a))))) & (forall i (forall e (ArePressing(i) ->   IsHabitatLoss(e)))) & (forall i (forall f (  IsPredation(f) -> ArePressing(i)))) & (forall i (forall h (forall g (  Won'tSee(g, h) -> ArePressing(i)))))) -> (forall j (forall a (forall k (forall i (ArePressing(i) and AreMorePressingThan(i, j) and ArePressingFor(i, k) and ArePressingFor(i, a))))))","(exists h (exists g (exists f (exists d (exists b (exists c (exists e (exists a ((IsDirty(b) and IsDirty(c) and IsInsectBorne(d) and IsGreaterProblemFor(b, a) and IsGreaterProblemFor(c, a) and IsGreaterProblemFor(d, a)) and (IsHabitatLoss(e) and IsPredation(f) and IsGreaterProblemFor(e, a) and IsGreaterProblemFor(f, a)) and Won'tSee(g, h))))))))) & (forall o (forall n (IsDirty(n) -> ArePressing(o)))) & (forall q (forall r (forall p (  ArePressingFor(p,q) -> IsDirty(r))))) & (forall s (forall t (  IsDirty(s) -> ArePressing(t)))) & (forall v (forall u (ArePressing(u) ->   IsDirty(v)))) & (forall x (forall y (forall w (  ArePressingFor(w,x) ->   IsDirty(y))))) & (forall z (  IsInsectBorne(z) -> ArePressing({))) & (  ArePressingFor(|,}) ->   IsGreaterProblemFor(~,)) & (ArePressing() ->   IsGreaterProblemFor(,)) & (  ArePressingFor(,) ->   IsGreaterProblemFor(,)) & (  ArePressingFor(,) ->   IsGreaterProblemFor(,)) & (ArePressing() ->   IsHabitatLoss()) & (  IsPredation() -> ArePressing()) & (  Won'tSee(,) -> ArePressing())) -> (exists a (exists j (exists i (exists k (ArePressing(i) and AreMorePressingThan(i, j) and ArePressingFor(i, k) and ArePressingFor(i, a))))))",
8,fallacy of extension,0,"The problem with the proponents of man-made climate change theories isn ’ t that they might be wrong . The real issue is the arrogance and zealotry found in people who see science not as an ongoing process , but as a religion .", Proponents of man-made climate change theories exhibit arrogance and zealotry.  , Science is like a religion to proponents of man-made climate change theories.,"ExhibitArrogance(a),  ExhibitZealotry(a)","IsLike(c, d)",[],"[(' Proponents', ' proponents'), (' man-made climate change theories', ' man-made climate change theories')]","[(' man-made climate change theories', ' Science')]",ExhibitArrogance(a) and ExhibitZealotry(a),"IsLike(c, d)","(ExhibitArrogance(a) and ExhibitZealotry(a)) -> (IsLike(c, d))","(exists a (ExhibitArrogance(a) and ExhibitZealotry(a))) -> (exists d (exists c (IsLike(c, d))))",LF
9,ad populum,0,"A recent study found that 9 million people died prematurely from pollution-related diseases in 2015 , accounting for 16 % of all deaths worldwide ."," ""9 million people died prematurely from pollution-related diseases in 2015, accounting for 16% of all deaths worldwide.""  "," ""Pollution causes a significant number of premature deaths worldwide.""","DiedPrematurely(b, c),  IsInYear(b, d),  AccountForPercentage(a, 16%)","Causes(e, a),  IsSignificant(a),  IsPrematureDeath(a)","[('Causes(e, a)', 'DiedPrematurely(b, c)')]","[(' premature deaths', ' all deaths worldwide')]","[(' pollution-related diseases', ' Pollution')]","DiedPrematurely(b, c) and IsInYear(b, d) and AccountForPercentage(a, 16%)","Causes(e, a) and IsSignificant(a) and IsPrematureDeath(a)","(exists c (DiedPrematurely(b, c) and IsInYear(b, d) and AccountForPercentage(a, 16%)) & (forall a (forall e (forall b (forall c (Causes(e, a) -> DiedPrematurely(b, c))))))) -> (forall e (Causes(e, a) and IsSignificant(a) and IsPrematureDeath(a)))","(exists d (exists a (exists b (exists c (DiedPrematurely(b, c) and IsInYear(b, d) and AccountForPercentage(a, 16%))))) & (forall j (forall i (forall h (forall g (Causes(g,h) -> DiedPrematurely(i,j))))))) -> (exists a (exists e (Causes(e, a) and IsSignificant(a) and IsPrematureDeath(a))))",
