,logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2,result
0,appeal to emotion,0,"Access to cleaner water has increased ; mortality from ‘ Extreme Weather Events ’ has declined by 99 per cent since the 1920s ; fewer people are dying from heat ; death rates from climate-sensitive diseases like malaria and diarrhoea have decreased ( since 1900 malaria death rates have declined 96 per cent ) ; hunger rates have declined ; poverty has declined ( GDP per capita has quadrupled since 1950 even as CO2 levels have sextupled ) ; life expectancy has more than doubled since the start of industrialisation ; health adjusted life expectancy has increased ; global inequality has decreased in terms of incomes , life expectancies and access to modern-day amenities ; the earth is green and more productive ; habitat lost to agriculture has peaked due to fossil fuel dependent technologies ."," ""Access to cleaner water has increased."""," ""Mortality from 'Extreme Weather Events' has declined by 99 per cent since the 1920s.""", IsAccessed(a)," IsDeclinedBy(c,b)",[],[],[],IsAccessed(a),"IsDeclinedBy(c,b)","(IsAccessed(a)) -> (IsDeclinedBy(c,b))","(exists a (IsAccessed(a))) -> (exists b (exists c (IsDeclinedBy(c,b))))",LF
1,ad hominem,0,"In its 2015 human-rights report on the island nation , the U.S. State Department said that significant problems include “ chronic government corruption , and chronic domestic violence , ” along with “ child abuse , sex trafficking , and lack of legal provisions protecting worker ’ s rights. ”"," ""The U.S. State Department said that significant problems exist in the island nation."""," ""The island nation has chronic government corruption, chronic domestic violence, child abuse, sex trafficking, and lack of legal provisions protecting worker's rights.""", IsInIslandNation(b)," IsChronic(c),  HasGovernmentCorruption(c),  HasDomesticViolence(c),  HasChildAbuse(c),  HasSexTrafficking(c),  LacksLegalProvisionsProtectingWorkersRights(c)",[],[],"[(' U.S. State Department', ''), (' island nation', '')]",IsInIslandNation(b),"Note: The logical form is a first-order logical formula, which is a statement that can be evaluated to true or false using logical reasoning and the properties associated with the referring expressions.","(IsInIslandNation(b)) -> (Note: The logical form is a first-order logical formula, which is a statement that can be evaluated to true or false using logical reasoning and the properties associated with the referring expressions.)","(exists b (IsInIslandNation(b))) -> (exists a (Note: The logical form is a first-order logical formula, which is a statement that can be evaluated to true or false using logical reasoning and the properties associated with the referring expressions.))",
2,faulty generalization,0,"Sea levels are projected to rise by more than 3 feet by the end of the century , wiping away beaches and coastal properties ."," ""Sea levels will rise by more than 3 feet"""," ""Beaches and coastal properties will be wiped away"""," IsRising(a),  IsMoreThan3Feet(b)"," IsWipedAway(c),  IsWipedAway(d)",[],[],"[(' coastal properties', ' more than 3 feet')]",IsRising(a) and IsMoreThan3Feet(b),IsWipedAway(c) and IsWipedAway(d),(forall b (IsRising(a) and IsMoreThan3Feet(b))) -> (exists d (IsWipedAway(c) and IsWipedAway(d))),(exists b (exists a (IsRising(a) and IsMoreThan3Feet(b)))) -> (exists d (exists c (IsWipedAway(c) and IsWipedAway(d)))),LF
3,faulty generalization,0,"As we 've noted in this space , the idea of `` settled science '' peddled by environmentalists and politicians defies the history of science , which has seen repeated upheavals of previous forms of `` settled science . ''"," ""The idea of'settled science' defies the history of science."""," ""Repeated upheavals of previous forms of'settled science' have occurred in the history of science."""," IsSettled(b),  IsHistoryOfScience(c)", IsRepeated(d),[],[],"[(' The idea', ''), (' settled science', ''), (' history of science.', '')]",IsSettled(b) and ~IsHistoryOfScience(c),IsRepeated(d),(exists c (exists b (IsSettled(b) and ~IsHistoryOfScience(c)))) -> (forall d (IsRepeated(d))),(exists c (exists b (IsSettled(b) and ~IsHistoryOfScience(c)))) -> (exists d (IsRepeated(d))),LF
4,appeal to emotion,0,"`` When scientists say bears are going extinct , I want people to realize what it looks like . Bears are going to starve to death , '' said Nicklen . ``"," ""Bears are going extinct."""," ""Bears are starving to death.""", IsGoingExtinct(a), IsStarvingToDeath(a),[],"[(' Bears', ' Bears')]","[(' extinct', ' death')]",IsGoingExtinct(b),IsStarvingToDeath(a),(IsGoingExtinct(b)) -> (IsStarvingToDeath(a)),(exists b (IsGoingExtinct(b))) -> (exists a (IsStarvingToDeath(a))),LF
5,equivocation,0,"No one and nothing would experience it directly since we all live in regions , not the globe ."," ""No one and nothing experiences it directly"""," ""We all live in regions, not the globe"""," IsExperiencedDirectly(a),  IsExperiencedDirectly(b)"," IsLivedIn(c),  IsLivedIn(d),  IsLivedIn(e)",[],[],[],~IsExperiencedDirectly(a) and ~IsExperiencedDirectly(b),IsLivedIn(c) and ~IsLivedIn(d) and ~IsLivedIn(e),(~IsExperiencedDirectly(a) and ~IsExperiencedDirectly(b)) -> (IsLivedIn(c) and ~IsLivedIn(d) and ~IsLivedIn(e)),(exists b (exists a (~IsExperiencedDirectly(a) and ~IsExperiencedDirectly(b)))) -> (exists e (exists d (exists c (IsLivedIn(c) and ~IsLivedIn(d) and ~IsLivedIn(e))))),LF
6,intentional,0,"By 2070 , that could be about a third of the overall global population at that time ."," ""By 2070, a third of the global population will be made up of people who are 75 years old or older."""," ""There will be a significant increase in the number of people who are 75 years old or older by 2070."""," IsInGlobalPopulation(a),  Is75YearsOldOrOlder(b)", IsIncrease(d),[],[],"[(' There will be a significant increase in the number of people who are 75 years old or older by 2070.', ' global population'), (' There will be a significant increase in the number of people who are 75 years old or older by 2070.', ' people')]",IsInGlobalPopulation(a) and (Is75YearsOldOrOlder(b) or IsInGlobalPopulation(b)),IsIncrease(d),(forall b (forall a (IsInGlobalPopulation(a) and (Is75YearsOldOrOlder(b) or IsInGlobalPopulation(b))))) -> (exists d (IsIncrease(d))),(exists b (exists a (IsInGlobalPopulation(a) and (Is75YearsOldOrOlder(b) or IsInGlobalPopulation(b))))) -> (exists d (IsIncrease(d))),LF
7,fallacy of logic,0,"Dirty water , dirty air
and insect-borne diseases are a far greater problem today for most people world-wide . Habitat loss and human predation are a far greater problem for most animals . Elephants
won ’ t make it to see a warmer climate ."," ""Habitat loss and human predation are a far greater problem for most animals."""," ""Elephants won't make it to see a warmer climate."""," IsHabitatLossGreater(a),  IsHumanPredationGreater(b),  IsMostAnimalsGreater(c)", IsInWarmerClimate(e),[],[],[],IsHabitatLossGreater(a) and IsHumanPredationGreater(b) and IsMostAnimalsGreater(c),IsInWarmerClimate(d),(IsHabitatLossGreater(a) and IsHumanPredationGreater(b) and IsMostAnimalsGreater(c)) -> (IsInWarmerClimate(d)),(exists b (exists c (exists a (IsHabitatLossGreater(a) and IsHumanPredationGreater(b) and IsMostAnimalsGreater(c))))) -> (exists d (IsInWarmerClimate(d))),LF
8,fallacy of extension,0,"The problem with the proponents of man-made climate change theories isn ’ t that they might be wrong . The real issue is the arrogance and zealotry found in people who see science not as an ongoing process , but as a religion ."," ""Man-made climate change theories are wrong."""," ""People who see science as a religion are arrogant and zealous.""", IsWrong(a)," IsArrogant(c),  IsZealous(c)",[],[],"[(' science', ' theories'), (' zealous', ' theories')]",IsWrong(b),(IsArrogant(c) and IsZealous(c)) and (d = religion and e = science),(forall b (IsWrong(b))) -> (exists d ((IsArrogant(c) and IsZealous(c)) and (d = religion and e = science))),(exists b (IsWrong(b))) -> (exists e (exists d (exists c ((IsArrogant(c) and IsZealous(c)) and (d = religion and e = science))))),
9,ad populum,0,"A recent study found that 9 million people died prematurely from pollution-related diseases in 2015 , accounting for 16 % of all deaths worldwide ."," ""9 million people died prematurely from pollution-related diseases in 2015"""," ""Pollution caused 16% of all deaths worldwide"""," IsDiedPrematurely(a,b),  IsIn2015(c)"," IsCausedBy(d,e)",[],[],[],"IsDiedPrematurely(a,b) and IsIn2015(c)","IsCausedBy(d,e)","(IsDiedPrematurely(a,b) and IsIn2015(c)) -> (IsCausedBy(d,e))","(exists b (exists c (exists a (IsDiedPrematurely(a,b) and IsIn2015(c))))) -> (exists e (exists d (IsCausedBy(d,e))))",LF
