,Unnamed: 0,logical_fallacies,label,articles,Logical Form,Logical Form 2,result
0,0,appeal to emotion,0,"Access to cleaner water has increased ; mortality from ‘ Extreme Weather Events ’ has declined by 99 per cent since the 1920s ; fewer people are dying from heat ; death rates from climate-sensitive diseases like malaria and diarrhoea have decreased ( since 1900 malaria death rates have declined 96 per cent ) ; hunger rates have declined ; poverty has declined ( GDP per capita has quadrupled since 1950 even as CO2 levels have sextupled ) ; life expectancy has more than doubled since the start of industrialisation ; health adjusted life expectancy has increased ; global inequality has decreased in terms of incomes , life expectancies and access to modern-day amenities ; the earth is green and more productive ; habitat lost to agriculture has peaked due to fossil fuel dependent technologies .",(IsAccessed(a)) -> (IsExtreme(b) and HasDeclined(c)),(exists a (IsAccessed(a))) -> (exists c (exists b (IsExtreme(b) and HasDeclined(c)))),1
1,1,ad hominem,0,"In its 2015 human-rights report on the island nation , the U.S. State Department said that significant problems include “ chronic government corruption , and chronic domestic violence , ” along with “ child abuse , sex trafficking , and lack of legal provisions protecting worker ’ s rights. ”",(exists b (exists a (IsSignificant(a) and ExistsIn(b)))) -> (forall c ((IsChronic(c) and HasGovernmentCorruption(c)) or (HasDomesticViolence(c) and HasChildAbuse(c)) or (HasSexTrafficking(c) and LacksLegalProvisionsProtectingWorkerRights(c)))),(exists a (exists b (IsSignificant(a) and ExistsIn(b)))) -> (exists c ((IsChronic(c) and HasGovernmentCorruption(c)) or (HasDomesticViolence(c) and HasChildAbuse(c)) or (HasSexTrafficking(c) and LacksLegalProvisionsProtectingWorkerRights(c)))),1
2,2,faulty generalization,0,"Sea levels are projected to rise by more than 3 feet by the end of the century , wiping away beaches and coastal properties .",(exists a (WillRiseMoreThan3Feet(a)) & (forall c (forall a ( WillRiseMoreThan3Feet(a) ->  IsEconomicImpactSignificant(c)))) & (forall a (forall d ( WillRiseMoreThan3Feet(a) ->   IsEnvironmentalImpactSignificant(d)))) & (forall e (forall a ( WillRiseMoreThan3Feet(a) ->   IsSignificant(e))))) -> (forall d ((IsEconomicImpactSignificant(c) and IsEnvironmentalImpactSignificant(d)) and IsSignificant(e))),(exists a (WillRiseMoreThan3Feet(a)) & (forall f (forall g ( WillRiseMoreThan3Feet(f) ->  IsEconomicImpactSignificant(g)))) & (forall h (forall i ( WillRiseMoreThan3Feet(h) ->   IsEnvironmentalImpactSignificant(i)))) & (forall k (forall j ( WillRiseMoreThan3Feet(j) ->   IsSignificant(k))))) -> (exists e (exists c (exists d ((IsEconomicImpactSignificant(c) and IsEnvironmentalImpactSignificant(d)) and IsSignificant(e))))),1
3,3,faulty generalization,0,"As we 've noted in this space , the idea of `` settled science '' peddled by environmentalists and politicians defies the history of science , which has seen repeated upheavals of previous forms of `` settled science . ''",(exists a (forall c (IsSettled(c) and IsHistoryOfScience(a)))) -> (forall d (exists a (exists d (HasRepeatedUpheaval(d) and IsHistoryOfScience(a))))),(exists c (exists a (IsSettled(c) and IsHistoryOfScience(a)))) -> (exists d (exists a (HasRepeatedUpheaval(d) and IsHistoryOfScience(a)))),0
4,4,appeal to emotion,0,"`` When scientists say bears are going extinct , I want people to realize what it looks like . Bears are going to starve to death , '' said Nicklen . ``",(exists b (IsExtinct(b)) & (forall a ( IsGoingExtinct(a) ->  IsStarvingToDeath(a))) & (forall a ( IsStarvingToDeath(a) ->  IsGoingExtinct(a)))) -> (forall c (IsStarvingToDeath(a) and death(c))),(exists b (IsExtinct(b)) & (forall d ( IsGoingExtinct(d) ->  IsStarvingToDeath(d))) & (forall e ( IsStarvingToDeath(e) ->  IsGoingExtinct(e)))) -> (exists c (exists a (IsStarvingToDeath(a) and death(c)))),0
5,5,equivocation,0,"No one and nothing would experience it directly since we all live in regions , not the globe .",(~IsExperiencedDirectly(a) and ~IsExperiencedDirectly(b)) -> (IsInRegion(c) and ~IsInGlobe(e)),(exists a (exists b (~IsExperiencedDirectly(a) and ~IsExperiencedDirectly(b)))) -> (exists e (exists c (IsInRegion(c) and ~IsInGlobe(e)))),0
6,6,intentional,0,"By 2070 , that could be about a third of the overall global population at that time .","(forall c (forall b (forall a (IsOver65(c) and (IsGlobalPopulation(a) and IsPeople(b))))) & (forall e (forall c (forall d ( IsOver65(c) ->  WillHaveIncrease(d,e))))) & (forall e (forall c (forall d ( WillHaveIncrease(d,e) ->  IsOver65(c)))))) -> (exists f (forall e (exists e (exists d (WillHaveIncrease(d,e) and IsIn2070(f))))))","(exists c (exists b (exists a (IsOver65(c) and (IsGlobalPopulation(a) and IsPeople(b))))) & (forall i (forall h (forall g ( IsOver65(g) ->  WillHaveIncrease(h,i))))) & (forall k (forall j (forall l ( WillHaveIncrease(j,k) ->  IsOver65(l)))))) -> (exists e (exists d (exists f (WillHaveIncrease(d,e) and IsIn2070(f)))))",1
7,7,fallacy of logic,0,"Dirty water , dirty air
and insect-borne diseases are a far greater problem today for most people world-wide . Habitat loss and human predation are a far greater problem for most animals . Elephants
won ’ t make it to see a warmer climate .",(IsWarm(b) and ~WillNotReach(a)) -> (IsHabitatLoss(c) and (IsHumanPredation(d) or IsMostAnimals(e))),(exists a (exists b (IsWarm(b) and ~WillNotReach(a)))) -> (exists e (exists c (exists d (IsHabitatLoss(c) and (IsHumanPredation(d) or IsMostAnimals(e)))))),0
8,8,fallacy of extension,0,"The problem with the proponents of man-made climate change theories isn ’ t that they might be wrong . The real issue is the arrogance and zealotry found in people who see science not as an ongoing process , but as a religion .",((IsArrogant(a) and IsZealous(d))) -> (IsReligion(f)),(exists a (exists d ((IsArrogant(a) and IsZealous(d))))) -> (exists f (IsReligion(f))),1
9,9,ad populum,0,"A recent study found that 9 million people died prematurely from pollution-related diseases in 2015 , accounting for 16 % of all deaths worldwide .",(exists a (exists c (exists b (IsDiedPrematurely(b) and (IsFromPollution(c) and IsIn2015(a))))) & (forall e (forall b ( IsDiedPrematurely(b) ->   IsDeaths(e)))) & (forall c (forall d (  IsFromPollution(c) ->  IsCausedBy(d)))) & (forall c (forall d ( IsCausedBy(d) ->   IsFromPollution(c))))) -> (forall f (IsCausedBy(d) and (IsDeaths(e) and IsWorldwide(f)))),(exists c (exists b (exists a (IsDiedPrematurely(b) and (IsFromPollution(c) and IsIn2015(a))))) & (forall h (forall g ( IsDiedPrematurely(g) ->   IsDeaths(h)))) & (forall j (forall i (  IsFromPollution(i) ->  IsCausedBy(j)))) & (forall k (forall l ( IsCausedBy(k) ->   IsFromPollution(l))))) -> (exists e (exists d (exists f (IsCausedBy(d) and (IsDeaths(e) and IsWorldwide(f)))))),1
10,10,intentional,0,"Ice core drilling shows that 800 years after natural warming , the atmosphere increases in carbon dioxide . The zenith of the Little Ice Age was 300 years ago and since then we have slightly warmed and cooled during a long-term warming trend . Instrumental temperature measurements over the past 150 years show no correlation between human emissions of CO2 and ­temperature . On all timescales it can be shown that there is no correlation between CO2 emissions and global warming .","(exists d (forall c (forall b (exists b (exists a (Is800YearsAfter(a) and IsInAtmosphere(c) and IsNaturalWarming(b) and IsCarbonDioxide(d)))))) & (forall e (forall d (forall f ( IsNoCorrelation(e, f) ->   IsCarbonDioxide(d)))))) -> (forall e (exists e (forall f (forall g (IsNoCorrelation(e, f) and IsOnAnyTimescale(g))))))","(exists c (exists a (exists b (exists d (Is800YearsAfter(a) and IsInAtmosphere(c) and IsNaturalWarming(b) and IsCarbonDioxide(d))))) & (forall j (forall h (forall i ( IsNoCorrelation(h,i) ->   IsCarbonDioxide(j)))))) -> (exists e (exists f (exists g (IsNoCorrelation(e, f) and IsOnAnyTimescale(g)))))",0
11,11,intentional,0,There is no proof the current rate of change in Antarctica will continue .,(~IsCurrent(b) and WillContinue(b)) -> (WillNotContinue(a)),(exists b (~IsCurrent(b) and WillContinue(b))) -> (exists a (WillNotContinue(a))),1
12,12,fallacy of credibility,0,"Research shows that this process is overpowering the erosion from sea-level rise , leading to net land-area gain .",(exists b (forall a (IsOverpowering(a) and IsErodedBy(b))) & (forall a ( IsOverpowering(a) ->   Occurs(a)))) -> (forall a (exists c (IsGain(c) and Occurs(a)))),(exists a (exists b (IsOverpowering(a) and IsErodedBy(b))) & (forall e ( IsOverpowering(e) ->   Occurs(e)))) -> (exists c (exists a (IsGain(c) and Occurs(a)))),1
13,13,false dilemma,0,"When it thaws and is released , that carbon may evaporate as methane , which is 34 times as powerful a greenhouse-gas warming blanket as carbon dioxide when judged on the timescale of a century ; when judged on the timescale of two decades , it is 86 times as powerful .","(exists a (IsEvaporated(a))) -> (forall d (forall c (IsAsPowerful(a,c) and IsJudgedOn(a,d))))","(exists a (IsEvaporated(a))) -> (exists c (exists a (exists d (IsAsPowerful(a,c) and IsJudgedOn(a,d)))))",1
14,14,appeal to emotion,0,We are the envy of the world .,() -> (),() -> (),0
15,15,fallacy of credibility,0,"The new research suggests that the oceans hundreds of millions of years ago were much cooler than we thought . If true , that means that the global warming we are currently undergoing is unparallelled within the last 100 million years , and far worse than we had previously calculated .",(forall b (exists a (IsCooler(a) and IsInHundredsOfMillionsOfYearsAgo(b))) & (forall e (forall b (  IsWithinLast100MillionYears(e) ->   IsInHundredsOfMillionsOfYearsAgo(b))))) -> (exists e (forall f (IsUnparalleled(c) and (IsWithinLast100MillionYears(e) and IsWorseThanPreviouslyCalculated(f))))),(exists a (exists b (IsCooler(a) and IsInHundredsOfMillionsOfYearsAgo(b))) & (forall h (forall g (  IsWithinLast100MillionYears(g) ->   IsInHundredsOfMillionsOfYearsAgo(h))))) -> (exists e (exists c (exists f (IsUnparalleled(c) and (IsWithinLast100MillionYears(e) and IsWorseThanPreviouslyCalculated(f)))))),0
