logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
appeal to emotion,0,"Access to cleaner water has increased ; mortality from ‘ Extreme Weather Events ’ has declined by 99 per cent since the 1920s ; fewer people are dying from heat ; death rates from climate-sensitive diseases like malaria and diarrhoea have decreased ( since 1900 malaria death rates have declined 96 per cent ) ; hunger rates have declined ; poverty has declined ( GDP per capita has quadrupled since 1950 even as CO2 levels have sextupled ) ; life expectancy has more than doubled since the start of industrialisation ; health adjusted life expectancy has increased ; global inequality has decreased in terms of incomes , life expectancies and access to modern-day amenities ; the earth is green and more productive ; habitat lost to agriculture has peaked due to fossil fuel dependent technologies ."," ""Access to cleaner water has increased, mortality from extreme weather events has declined by 99 percent since the 1920s, fewer people are dying from heat, death rates from climate-sensitive diseases like malaria and diarrhoea have decreased, hunger rates have declined, poverty has declined, life expectancy has more than doubled since the start of industrialisation, health adjusted life expectancy has increased, global inequality has decreased in terms of incomes, life expectancies and access to modern-day amenities, the earth is green and more productive, and habitat lost to agriculture has peaked due to fossil fuel dependent technologies.""  "," ""Quality of life for people has improved.""","IsAccessToCleanerWater(b),  HasDecreasedMortality(c),  IsDying(a,d),  HasDecreasedDeathRates(e),  IsInfectedWithMalaria(f),  IsAffectedByDiarrhoea(g),  HasDeclinedHungerRates(h),  HasDeclinedPoverty(i),  HasIncreasedLifeExpectancy(j),  HasDoubledSinceIndustrialisation(j,k),  HasIncreasedHealthAdjustedLifeExpectancy(l),  HasDecreasedGlobalInequality(m),  HasIncreasedIncomes(n),  HasIncreasedLifeExpectancies(o),  HasIncreasedAccessToModernDayAmenities(p),  IsGreenAndProductive(q),  HasPeakedHabitatLossToAgriculture(r,s),  IsDependentOnFossilFuelTechnologies(t)","IsQualityOfLifeImproved(u),  HasQualityOfLife(a, u)","[('IsQualityOfLifeImproved(u)', '  HasDeclinedHungerRates(h)'), ('  HasQualityOfLife(a, u)', '  HasDeclinedHungerRates(h)'), ('  HasQualityOfLife(a, u)', '  HasDeclinedPoverty(i)'), ('  HasQualityOfLife(a, u)', '  HasIncreasedLifeExpectancy(j)'), ('IsQualityOfLifeImproved(u)', '  HasDoubledSinceIndustrialisation(j,k)'), ('  HasQualityOfLife(a, u)', '  HasDoubledSinceIndustrialisation(j,k)'), ('  HasIncreasedHealthAdjustedLifeExpectancy(l)', 'IsQualityOfLifeImproved(u)'), ('IsQualityOfLifeImproved(u)', '  HasIncreasedLifeExpectancies(o)'), ('  HasQualityOfLife(a, u)', '  HasIncreasedLifeExpectancies(o)')]","[(' people', ' people')]","[(' Access to cleaner water', ' Quality of life'), (' access to modern-day amenities', ' Quality of life')]","IsAccessToCleanerWater(b) and HasDecreasedMortality(c) and ~IsDying(a,d) and HasDecreasedDeathRates(e) and IsInfectedWithMalaria(f) and IsAffectedByDiarrhoea(g) and HasDeclinedHungerRates(h) and HasDeclinedPoverty(i) and HasIncreasedLifeExpectancy(j) and HasDoubledSinceIndustrialisation(j,k) and HasIncreasedHealthAdjustedLifeExpectancy(l) and HasDecreasedGlobalInequality(m) and HasIncreasedIncomes(n) and HasIncreasedLifeExpectancies(o) and HasIncreasedAccessToModernDayAmenities(p) and IsGreenAndProductive(q) and HasPeakedHabitatLossToAgriculture(r,s) and IsDependentOnFossilFuelTechnologies(t)","IsQualityOfLifeImproved(u) and HasQualityOfLife(a, u)","(exists p (exists b (IsAccessToCleanerWater(b) and HasDecreasedMortality(c) and ~IsDying(a,d) and HasDecreasedDeathRates(e) and IsInfectedWithMalaria(f) and IsAffectedByDiarrhoea(g) and HasDeclinedHungerRates(h) and HasDeclinedPoverty(i) and HasIncreasedLifeExpectancy(j) and HasDoubledSinceIndustrialisation(j,k) and HasIncreasedHealthAdjustedLifeExpectancy(l) and HasDecreasedGlobalInequality(m) and HasIncreasedIncomes(n) and HasIncreasedLifeExpectancies(o) and HasIncreasedAccessToModernDayAmenities(p) and IsGreenAndProductive(q) and HasPeakedHabitatLossToAgriculture(r,s) and IsDependentOnFossilFuelTechnologies(t))) & (forall h (forall u (IsQualityOfLifeImproved(u) ->   HasDeclinedHungerRates(h)))) & (forall u (forall h (forall a (  HasQualityOfLife(a, u) ->   HasDeclinedHungerRates(h))))) & (forall u (forall i (forall a (  HasQualityOfLife(a, u) ->   HasDeclinedPoverty(i))))) & (forall u (forall j (forall a (  HasQualityOfLife(a, u) ->   HasIncreasedLifeExpectancy(j))))) & (forall j (forall k (forall u (IsQualityOfLifeImproved(u) ->   HasDoubledSinceIndustrialisation(j,k))))) & (forall u (forall j (forall k (forall a (  HasQualityOfLife(a, u) ->   HasDoubledSinceIndustrialisation(j,k)))))) & (forall l (forall u (  HasIncreasedHealthAdjustedLifeExpectancy(l) -> IsQualityOfLifeImproved(u)))) & (forall o (forall u (IsQualityOfLifeImproved(u) ->   HasIncreasedLifeExpectancies(o)))) & (forall u (forall o (forall a (  HasQualityOfLife(a, u) ->   HasIncreasedLifeExpectancies(o)))))) -> (forall u (IsQualityOfLifeImproved(u) and HasQualityOfLife(a, u)))","(exists a (exists l (exists r (exists n (exists g (exists s (exists c (exists m (exists p (exists f (exists i (exists b (exists j (exists d (exists k (exists t (exists h (exists o (exists q (exists e (IsAccessToCleanerWater(b) and HasDecreasedMortality(c) and ~IsDying(a,d) and HasDecreasedDeathRates(e) and IsInfectedWithMalaria(f) and IsAffectedByDiarrhoea(g) and HasDeclinedHungerRates(h) and HasDeclinedPoverty(i) and HasIncreasedLifeExpectancy(j) and HasDoubledSinceIndustrialisation(j,k) and HasIncreasedHealthAdjustedLifeExpectancy(l) and HasDecreasedGlobalInequality(m) and HasIncreasedIncomes(n) and HasIncreasedLifeExpectancies(o) and HasIncreasedAccessToModernDayAmenities(p) and IsGreenAndProductive(q) and HasPeakedHabitatLossToAgriculture(r,s) and IsDependentOnFossilFuelTechnologies(t))))))))))))))))))))) & (forall v (forall w (IsQualityOfLifeImproved(v) ->   HasDeclinedHungerRates(w)))) & (forall z (forall y (forall x (  HasQualityOfLife(x,y) ->   HasDeclinedHungerRates(z))))) & (  HasQualityOfLife({,|) ->   HasDeclinedPoverty(})) & (  HasQualityOfLife(~,) ->   HasIncreasedLifeExpectancy()) & (IsQualityOfLifeImproved() ->   HasDoubledSinceIndustrialisation(,)) & (  HasQualityOfLife(,) ->   HasDoubledSinceIndustrialisation(,)) & (  HasIncreasedHealthAdjustedLifeExpectancy() -> IsQualityOfLifeImproved()) & (IsQualityOfLifeImproved() ->   HasIncreasedLifeExpectancies()) & (  HasQualityOfLife(,) ->   HasIncreasedLifeExpectancies())) -> (exists a (exists u (IsQualityOfLifeImproved(u) and HasQualityOfLife(a, u))))"
ad hominem,0,"In its 2015 human-rights report on the island nation , the U.S. State Department said that significant problems include “ chronic government corruption , and chronic domestic violence , ” along with “ child abuse , sex trafficking , and lack of legal provisions protecting worker ’ s rights. ”"," ""The U.S. State Department reported significant problems including chronic government corruption, chronic domestic violence, child abuse, sex trafficking, and lack of legal provisions protecting workers' rights.""  "," ""The island nation has serious human-rights issues.""","ReportedBy(a, b),  HasChronicCorruption(b, c),  HasChronicDomesticViolence(b, d),  HasChildAbuse(b, e),  HasSexTrafficking(b, f),  HasLackOfLegalProvisions(b, g),  ProtectsWorkersRights(g, h)","HasSeriousHumanRightsIssues(i, j)",[],[],"[(' chronic domestic violence', ' human-rights issues'), (' child abuse', ' human-rights issues'), (' sex trafficking', ' human-rights issues'), ("" workers' rights."", ' human-rights issues')]","ReportedBy(a, b) and HasChronicCorruption(b, c) and HasChronicDomesticViolence(b, d) and HasChildAbuse(b, e) and HasSexTrafficking(b, f) and HasLackOfLegalProvisions(b, g) and ProtectsWorkersRights(g, h)","HasSeriousHumanRightsIssues(i, j)","(exists h (exists f (exists e (exists d (ReportedBy(a, b) and HasChronicCorruption(b, c) and HasChronicDomesticViolence(b, d) and HasChildAbuse(b, e) and HasSexTrafficking(b, f) and HasLackOfLegalProvisions(b, g) and ProtectsWorkersRights(g, h)))))) -> (forall j (HasSeriousHumanRightsIssues(i, j)))","(exists d (exists a (exists c (exists h (exists f (exists e (exists b (exists g (ReportedBy(a, b) and HasChronicCorruption(b, c) and HasChronicDomesticViolence(b, d) and HasChildAbuse(b, e) and HasSexTrafficking(b, f) and HasLackOfLegalProvisions(b, g) and ProtectsWorkersRights(g, h)))))))))) -> (exists j (exists i (HasSeriousHumanRightsIssues(i, j))))"
faulty generalization,0,"Sea levels are projected to rise by more than 3 feet by the end of the century , wiping away beaches and coastal properties ."," Sea levels are projected to rise by more than 3 feet by the end of the century, wiping away beaches and coastal properties.  ", Beaches and coastal properties will be wiped away.,"IsProjectedToRise(c, d),  IsWipedAway(a),  IsWipedAway(b)","IsWipedAway(a),  IsWipedAway(b)",[],"[(' beaches', ' Beaches'), (' coastal properties', ' coastal properties')]","[(' beaches', ' coastal properties'), (' coastal properties', ' Beaches')]","(IsProjectedToRise(c, d) and (IsWipedAway(a) and IsWipedAway(b))) and ~IsInExistence(a) and ~IsInExistence(b)",IsWipedAway(a) and IsWipedAway(b),"(exists b (exists a ((IsProjectedToRise(c, d) and (IsWipedAway(a) and IsWipedAway(b))) and ~IsInExistence(a) and ~IsInExistence(b)))) -> (exists a (forall b (IsWipedAway(a) and IsWipedAway(b))))","(exists c (exists d (exists b (exists a ((IsProjectedToRise(c, d) and (IsWipedAway(a) and IsWipedAway(b))) and ~IsInExistence(a) and ~IsInExistence(b)))))) -> (exists b (exists a (IsWipedAway(a) and IsWipedAway(b))))"
faulty generalization,0,"As we 've noted in this space , the idea of `` settled science '' peddled by environmentalists and politicians defies the history of science , which has seen repeated upheavals of previous forms of `` settled science . ''"," ""The idea of settled science peddled by environmentalists and politicians defies the history of science.""  "," ""Settled science is not reliable.""","DefiesHistoryOfScience(a, d),  PeddledBy(b, a),  PeddledBy(c, a)",IsNotReliable(a),[],"[(' The idea of settled science', ' Settled science')]",[],"DefiesHistoryOfScience(a, d) and PeddledBy(b, a) and PeddledBy(c, a)",~IsNotReliable(a),"(DefiesHistoryOfScience(a, d) and PeddledBy(b, a) and PeddledBy(c, a)) -> (~IsNotReliable(a))","(exists c (exists d (exists b (exists a (DefiesHistoryOfScience(a, d) and PeddledBy(b, a) and PeddledBy(c, a)))))) -> (exists a (~IsNotReliable(a)))"
appeal to emotion,0,"`` When scientists say bears are going extinct , I want people to realize what it looks like . Bears are going to starve to death , '' said Nicklen . ``"," ""Scientists say bears are going extinct.""  "," ""Bears are going to starve to death.""","IsSaying(b),  IsGoingExtinct(a)",IsGoingToStarve(a),[],"[(' bears', ' Bears')]",[],IsSaying(b) and IsGoingExtinct(a),IsGoingToStarve(a),(IsSaying(b) and IsGoingExtinct(a)) -> (IsGoingToStarve(a)),(exists b (exists a (IsSaying(b) and IsGoingExtinct(a)))) -> (exists a (IsGoingToStarve(a)))
equivocation,0,"No one and nothing would experience it directly since we all live in regions , not the globe ."," ""No one and nothing would experience the world directly.""  "," ""Everyone lives in regions, not the globe.""","ExperiencesDirectly(a, c),  ExperiencesDirectly(b, c)","LivesIn(d, e),  NotIn(d, f)",[],[],"[(' the world', ' regions')]","~ExperiencesDirectly(a, c) and ~ExperiencesDirectly(b, c)","LivesIn(d, e) and NotIn(d, f)","(exists c (~ExperiencesDirectly(a, c) and ~ExperiencesDirectly(b, c))) -> (forall e (LivesIn(d, e) and NotIn(d, f)))","(exists c (exists b (exists a (~ExperiencesDirectly(a, c) and ~ExperiencesDirectly(b, c))))) -> (exists e (exists d (exists f (LivesIn(d, e) and NotIn(d, f)))))"
intentional,0,"By 2070 , that could be about a third of the overall global population at that time ."," ""By 2070, about a third of the overall global population could be that.""  "," ""About a third of the overall global population will be that by 2070.""",CouldBe(a),WillBe(a),[],"[(' A third of the overall global population', ' a third')]","[(' A third of the overall global population', ' the overall global population')]",CouldBe(a),WillBe(a),(CouldBe(a)) -> (WillBe(a)),(exists a (CouldBe(a))) -> (exists a (WillBe(a)))
fallacy of logic,0,"Dirty water , dirty air
and insect-borne diseases are a far greater problem today for most people world-wide . Habitat loss and human predation are a far greater problem for most animals . Elephants
won ’ t make it to see a warmer climate ."," ""Dirty water, dirty air, and insect-borne diseases are a far greater problem for most people.""  "," ""Elephants won't survive a warmer climate.""","IsDirty(a),  IsDirty(b),  Causes(c, d)","WillNotSurvive(e, f)",[],[],[],"(IsDirty(a) and IsDirty(b) and Causes(c, d))","WillNotSurvive(e, f)","((IsDirty(a) and IsDirty(b) and Causes(c, d))) -> (WillNotSurvive(e, f))","(exists c (exists d (exists b (exists a ((IsDirty(a) and IsDirty(b) and Causes(c, d))))))) -> (exists e (exists f (WillNotSurvive(e, f))))"
fallacy of extension,0,"The problem with the proponents of man-made climate change theories isn ’ t that they might be wrong . The real issue is the arrogance and zealotry found in people who see science not as an ongoing process , but as a religion ."," ""Proponents of man-made climate change theories might be wrong.""  "," ""People who see science as a religion are arrogant and zealous.""","IsProponent(a),  MightBeWrong(a, b)","IsSeenAsReligion(c, d, e),  IsArrogant(c),  IsZealous(c)",[],[],"[(' Proponents', ' People')]","IsProponent(a) and MightBeWrong(a, b)","IsSeenAsReligion(c, d, e) and (IsArrogant(c) and IsZealous(c))","(exists a (IsProponent(a) and MightBeWrong(a, b))) -> (forall c (IsSeenAsReligion(c, d, e) and (IsArrogant(c) and IsZealous(c))))","(exists b (exists a (IsProponent(a) and MightBeWrong(a, b)))) -> (exists c (exists e (exists d (IsSeenAsReligion(c, d, e) and (IsArrogant(c) and IsZealous(c))))))"
ad populum,0,"A recent study found that 9 million people died prematurely from pollution-related diseases in 2015 , accounting for 16 % of all deaths worldwide ."," ""9 million people died prematurely from pollution-related diseases in 2015.""  "," ""Pollution-related diseases account for 16% of all deaths worldwide.""","DiedPrematurely(b),  CausedBy(a),  OccurredIn(c)","AccountFor(a, d),  IsWorldwide(e)",[],"[(' pollution-related diseases', ' Pollution-related diseases')]",[],DiedPrematurely(b) and CausedBy(a) and OccurredIn(c),"AccountFor(a, d) and IsWorldwide(e)","(DiedPrematurely(b) and CausedBy(a) and OccurredIn(c)) -> (AccountFor(a, d) and IsWorldwide(e))","(exists c (exists b (exists a (DiedPrematurely(b) and CausedBy(a) and OccurredIn(c))))) -> (exists e (exists d (exists a (AccountFor(a, d) and IsWorldwide(e)))))"
