,logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2,result
0,appeal to emotion,0,"Access to cleaner water has increased ; mortality from ‘ Extreme Weather Events ’ has declined by 99 per cent since the 1920s ; fewer people are dying from heat ; death rates from climate-sensitive diseases like malaria and diarrhoea have decreased ( since 1900 malaria death rates have declined 96 per cent ) ; hunger rates have declined ; poverty has declined ( GDP per capita has quadrupled since 1950 even as CO2 levels have sextupled ) ; life expectancy has more than doubled since the start of industrialisation ; health adjusted life expectancy has increased ; global inequality has decreased in terms of incomes , life expectancies and access to modern-day amenities ; the earth is green and more productive ; habitat lost to agriculture has peaked due to fossil fuel dependent technologies ."," ""Access to cleaner water has increased, mortality from Extreme Weather Events has declined by 99 percent since the 1920s, fewer people are dying from heat, death rates from climate-sensitive diseases like malaria and diarrhoea have decreased, hunger rates have declined, poverty has declined, life expectancy has more than doubled since the start of industrialisation, health adjusted life expectancy has increased, global inequality has decreased in terms of incomes, life expectancies and access to modern-day amenities, the earth is green and more productive, habitat lost to agriculture has peaked due to fossil fuel dependent technologies.""  "," ""Conditions on Earth have improved.""","HasIncreased(a),  HasDeclined(b),  HasDeclined(d),  IsDyingFrom(e,d),  HasDecreased(f),  HasDecreased(g),  HasDecreased(h),  HasDecreased(i),  HasDeclined(j),  HasDeclined(k),  HasMoreThanDoubled(l),  HasIncreased(n),  HasDecreased(o),  IsInTermsOf(p),  IsInTermsOf(q),  IsInTermsOf(r),  IsGreen(s),  IsMoreProductive(s),  HasPeaked(t,v)",HasImproved(w),[],[],"[(' cleaner water', ' Conditions'), (' cleaner water', ' Earth'), (' mortality', ' Conditions'), (' mortality', ' Earth'), (' extreme weather events', ' Earth'), (' death rates', ' Earth'), (' climate-sensitive diseases', ' Conditions'), (' malaria', ' Conditions'), (' hunger rates', ' Earth'), (' poverty', ' Conditions'), (' poverty', ' Earth'), (' life expectancy', ' Conditions'), (' life expectancy', ' Earth'), (' health adjusted life expectancy', ' Conditions'), (' health adjusted life expectancy', ' Earth'), (' global inequality', ' Conditions'), (' incomes', ' Earth'), (' life expectancies', ' Earth'), (' access to modern-day amenities', ' Conditions'), (' access to modern-day amenities', ' Earth'), (' the earth', ' Earth'), (' habitat', ' Conditions'), (' habitat', ' Earth'), (' fossil fuel dependent technologies.', ' Conditions')]","HasIncreased(a) and HasDeclined(b) and HasDeclined(d) and ~IsDyingFrom(e,d) and HasDecreased(f) and HasDecreased(g) and HasDecreased(h) and HasDecreased(i) and HasDeclined(j) and HasDeclined(k) and HasMoreThanDoubled(l) and HasIncreased(n) and HasDecreased(o) and IsInTermsOf(p) and IsInTermsOf(q) and IsInTermsOf(r) and IsGreen(s) and IsMoreProductive(s) and HasPeaked(t,v)",HasImproved(w),"(exists v (exists t (exists r (exists o (exists n (exists l (exists k (exists h (exists g (exists b (exists a (HasIncreased(a) and HasDeclined(b) and HasDeclined(d) and ~IsDyingFrom(e,d) and HasDecreased(f) and HasDecreased(g) and HasDecreased(h) and HasDecreased(i) and HasDeclined(j) and HasDeclined(k) and HasMoreThanDoubled(l) and HasIncreased(n) and HasDecreased(o) and IsInTermsOf(p) and IsInTermsOf(q) and IsInTermsOf(r) and IsGreen(s) and IsMoreProductive(s) and HasPeaked(t,v))))))))))))) -> (forall w (HasImproved(w)))","(exists o (exists d (exists a (exists s (exists r (exists g (exists n (exists v (exists t (exists i (exists e (exists l (exists b (exists f (exists p (exists j (exists q (exists h (exists k (HasIncreased(a) and HasDeclined(b) and HasDeclined(d) and ~IsDyingFrom(e,d) and HasDecreased(f) and HasDecreased(g) and HasDecreased(h) and HasDecreased(i) and HasDeclined(j) and HasDeclined(k) and HasMoreThanDoubled(l) and HasIncreased(n) and HasDecreased(o) and IsInTermsOf(p) and IsInTermsOf(q) and IsInTermsOf(r) and IsGreen(s) and IsMoreProductive(s) and HasPeaked(t,v))))))))))))))))))))) -> (exists w (HasImproved(w)))",LF
1,ad hominem,0,"In its 2015 human-rights report on the island nation , the U.S. State Department said that significant problems include “ chronic government corruption , and chronic domestic violence , ” along with “ child abuse , sex trafficking , and lack of legal provisions protecting worker ’ s rights. ”"," ""The U.S. State Department reported significant problems in the island nation, including chronic government corruption, chronic domestic violence, child abuse, sex trafficking, and lack of legal provisions protecting workers' rights.""  "," ""The island nation has significant human rights issues.""","IsReportedBy(c,d),  IsInIslandNation(a),  HasChronicGovernmentCorruption(a,e),  HasChronicDomesticViolence(a,f),  HasChildAbuse(a,g),  HasSexTrafficking(a,b),  HasLackOfLegalProvisions(a,b),  ProtectsWorkersRights(h)","IsInIslandNation(a),  HasSignificantHumanRightsIssues(a,b)",[],"[(' the island nation', ' The island nation'), (' sex trafficking', ' human rights issues'), (' lack of legal provisions', ' human rights issues')]","[(' The island nation', ' significant problems'), (' human rights issues', ' significant problems'), (' the island nation', ' human rights issues'), (' chronic government corruption', ' human rights issues'), (' chronic domestic violence', ' human rights issues'), (' child abuse', ' human rights issues'), ("" workers' rights."", ' human rights issues')]","IsReportedBy(c,d) and IsInIslandNation(a) and (HasChronicGovernmentCorruption(a,e) or HasChronicDomesticViolence(a,f) or HasChildAbuse(a,g) or HasSexTrafficking(a,b) or HasLackOfLegalProvisions(a,b))","IsInIslandNation(a) and HasSignificantHumanRightsIssues(a,b)","(exists g (exists f (exists e (exists a (forall d (IsReportedBy(c,d) and IsInIslandNation(a) and (HasChronicGovernmentCorruption(a,e) or HasChronicDomesticViolence(a,f) or HasChildAbuse(a,g) or HasSexTrafficking(a,b) or HasLackOfLegalProvisions(a,b)))))))) -> (forall b (exists b (exists a (IsInIslandNation(a) and HasSignificantHumanRightsIssues(a,b)))))","(exists c (exists d (exists a (exists g (exists e (exists b (exists f (IsReportedBy(c,d) and IsInIslandNation(a) and (HasChronicGovernmentCorruption(a,e) or HasChronicDomesticViolence(a,f) or HasChildAbuse(a,g) or HasSexTrafficking(a,b) or HasLackOfLegalProvisions(a,b)))))))))) -> (exists a (exists b (IsInIslandNation(a) and HasSignificantHumanRightsIssues(a,b))))",LF
2,faulty generalization,0,"Sea levels are projected to rise by more than 3 feet by the end of the century , wiping away beaches and coastal properties ."," ""Sea levels are projected to rise by more than 3 feet by the end of the century.""  "," ""Beaches and coastal properties will be wiped away.""","IsProjectedToRise(a),  IsByTheEndOfCentury(b)","IsWipedAway(c),  IsWipedAway(d)",[],[],[],IsProjectedToRise(a) and IsByTheEndOfCentury(b),IsWipedAway(c) and IsWipedAway(d),(IsProjectedToRise(a) and IsByTheEndOfCentury(b)) -> (IsWipedAway(c) and IsWipedAway(d)),(exists a (exists b (IsProjectedToRise(a) and IsByTheEndOfCentury(b)))) -> (exists c (exists d (IsWipedAway(c) and IsWipedAway(d)))),LF
3,faulty generalization,0,"As we 've noted in this space , the idea of `` settled science '' peddled by environmentalists and politicians defies the history of science , which has seen repeated upheavals of previous forms of `` settled science . ''"," ""Environmentalists and politicians peddle the idea of settled science.""  "," ""The idea of settled science defies the history of science.""","PeddlesIdea(b, a),  PeddlesIdea(c, a)","DefiesIdea(a, d)",[],"[(' the idea of settled science', ' The idea of settled science')]","[(' the idea of settled science', ' the history of science')]","PeddlesIdea(b, a) and PeddlesIdea(c, a)","DefiesIdea(a, d)","(exists a (PeddlesIdea(b, a) and PeddlesIdea(c, a))) -> (forall d (DefiesIdea(a, d)))","(exists c (exists a (exists b (PeddlesIdea(b, a) and PeddlesIdea(c, a))))) -> (exists d (exists a (DefiesIdea(a, d))))",LF
4,appeal to emotion,0,"`` When scientists say bears are going extinct , I want people to realize what it looks like . Bears are going to starve to death , '' said Nicklen . ``"," ""Scientists say bears are going extinct.""  "," ""Bears are going to starve to death.""","IsSaying(b),  IsExtinct(a)","IsStarving(a),  IsGoingToStarve(a)",[],"[(' bears', ' Bears')]",[],IsSaying(b) and IsExtinct(a),IsGoingToStarve(a) and IsStarving(a),(IsSaying(b) and IsExtinct(a)) -> (IsGoingToStarve(a) and IsStarving(a)),(exists a (exists b (IsSaying(b) and IsExtinct(a)))) -> (exists a (IsGoingToStarve(a) and IsStarving(a))),LF
5,equivocation,0,"No one and nothing would experience it directly since we all live in regions , not the globe ."," ""No one and nothing experiences the world directly.""  "," ""We all live in regions, not the globe.""","ExperiencesDirectly(a, c),  ExperiencesDirectly(b, c)","LivesIn(d, e),  IsNot(f, e)",[],[],[],"~ExperiencesDirectly(a, c) and ~ExperiencesDirectly(b, c)","LivesIn(d, e) and IsNot(f, e)","(~ExperiencesDirectly(a, c) and ~ExperiencesDirectly(b, c)) -> (LivesIn(d, e) and IsNot(f, e))","(exists c (exists a (exists b (~ExperiencesDirectly(a, c) and ~ExperiencesDirectly(b, c))))) -> (exists d (exists e (exists f (LivesIn(d, e) and IsNot(f, e)))))",LF
6,intentional,0,"By 2070 , that could be about a third of the overall global population at that time ."," ""By 2070, that could be about a third of the overall global population.""  "," ""A third of the overall global population will exist by 2070.""","CouldBeAbout(b, a),  IsPartOf(c, a)","CouldExistBy(a, d)",[],"[(' a third', ' A third of the overall global population')]","[(' A third of the overall global population', ' that'), (' A third of the overall global population', ' the overall global population')]","CouldBeAbout(b, a) and IsPartOf(c, a)","CouldExistBy(a, d)","(forall c (forall b (CouldBeAbout(b, a) and IsPartOf(c, a)))) -> (exists a (CouldExistBy(a, d)))","(exists c (exists a (exists b (CouldBeAbout(b, a) and IsPartOf(c, a))))) -> (exists d (exists a (CouldExistBy(a, d))))",LF
7,fallacy of logic,0,"Dirty water , dirty air
and insect-borne diseases are a far greater problem today for most people world-wide . Habitat loss and human predation are a far greater problem for most animals . Elephants
won ’ t make it to see a warmer climate ."," ""Dirty water, dirty air, and insect-borne diseases are a greater problem for most people. Habitat loss and human predation are a greater problem for most animals. Elephants won't survive in a warmer climate.""  "," ""Dirty water, dirty air, insect-borne diseases, habitat loss, human predation, and a warmer climate threaten the existence of most people and most animals.""","IsDirty(a),  IsDirty(b),  CausesDisease(c),  IsProblemFor(c,d),  IsProblemFor(e,g),  IsProblemFor(f,g),  WillNotSurvive(h,i)","IsDirty(a),  IsDirty(b),  CausesDisease(c),  ThreatensExistence(k,d),  ThreatensExistence(k,l),  IsProblemFor(e,l),  IsProblemFor(f,l),  IsProblemFor(j,d),  IsProblemFor(j,l)",[],"[(' Dirty water', ' Dirty water'), (' dirty air', ' dirty air'), (' insect-borne diseases', ' insect-borne diseases'), (' most people', ' most people'), (' habitat loss', ' habitat loss'), (' human predation', ' human predation')]","[(' dirty air', ' a warmer climate'), (' the existence', ' human predation'), (' habitat loss', ' elephants'), (' warmer climate', ' a warmer climate'), (' warmer climate', ' the existence')]","(IsDirty(a) and IsDirty(b) and CausesDisease(c) and IsProblemFor(c,d) and IsProblemFor(e,g) and IsProblemFor(f,g)) and WillNotSurvive(h,i)","(IsDirty(a) and IsDirty(b) and CausesDisease(c) and IsProblemFor(e,l) and IsProblemFor(f,l) and IsProblemFor(j,d) and IsProblemFor(j,l)) and (ThreatensExistence(k,d) and ThreatensExistence(k,l))","(exists i (forall h (forall f (exists b ((IsDirty(a) and IsDirty(b) and CausesDisease(c) and IsProblemFor(c,d) and IsProblemFor(e,g) and IsProblemFor(f,g)) and WillNotSurvive(h,i)))))) -> (forall k (exists e (exists k (forall j ((IsDirty(a) and IsDirty(b) and CausesDisease(c) and IsProblemFor(e,l) and IsProblemFor(f,l) and IsProblemFor(j,d) and IsProblemFor(j,l)) and (ThreatensExistence(k,d) and ThreatensExistence(k,l)))))))","(exists c (exists d (exists a (exists i (exists g (exists h (exists e (exists b (exists f ((IsDirty(a) and IsDirty(b) and CausesDisease(c) and IsProblemFor(c,d) and IsProblemFor(e,g) and IsProblemFor(f,g)) and WillNotSurvive(h,i))))))))))) -> (exists c (exists d (exists a (exists j (exists k (exists e (exists l (exists b (exists f ((IsDirty(a) and IsDirty(b) and CausesDisease(c) and IsProblemFor(e,l) and IsProblemFor(f,l) and IsProblemFor(j,d) and IsProblemFor(j,l)) and (ThreatensExistence(k,d) and ThreatensExistence(k,l))))))))))))",
8,fallacy of extension,0,"The problem with the proponents of man-made climate change theories isn ’ t that they might be wrong . The real issue is the arrogance and zealotry found in people who see science not as an ongoing process , but as a religion ."," ""Proponents of man-made climate change theories might be wrong.""  "," ""Proponents of man-made climate change theories see science as a religion.""","IsProponentOf(a,b),  MightBeWrong(a)","IsProponentOf(c, d),  SeesAs(c, e)",[],[],"[(' Proponents of man-made climate change theories', ' Proponents'), (' man-made climate change theories', ' Proponents of man-made climate change theories')]","IsProponentOf(a,b) and MightBeWrong(a)","IsProponentOf(c, d) and SeesAs(c, e)","(exists b (forall a (IsProponentOf(a,b) and MightBeWrong(a)))) -> (forall c (exists c (IsProponentOf(c, d) and SeesAs(c, e))))","(exists a (exists b (IsProponentOf(a,b) and MightBeWrong(a)))) -> (exists c (exists d (exists e (IsProponentOf(c, d) and SeesAs(c, e)))))",LF
9,ad populum,0,"A recent study found that 9 million people died prematurely from pollution-related diseases in 2015 , accounting for 16 % of all deaths worldwide ."," ""9 million people died prematurely from pollution-related diseases in 2015.""  "," ""16% of all deaths worldwide are due to pollution-related diseases.""","DiedPrematurely(b, a),  OccurredIn(b, c)","DueTo(d, a)",[],"[(' pollution-related diseases', ' pollution-related diseases')]","[(' 9 million people', ' worldwide'), (' pollution-related diseases', ' worldwide'), (' 2015', ' worldwide')]","DiedPrematurely(b, a) and OccurredIn(b, c)","DueTo(d, a)","(DiedPrematurely(b, a) and OccurredIn(b, c)) -> (DueTo(d, a))","(exists c (exists a (exists b (DiedPrematurely(b, a) and OccurredIn(b, c))))) -> (exists d (exists a (DueTo(d, a))))",LF
